"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"Umesh
Kumar Ranjan Mahto"	"Ram Bahadur Singh"	"Suryadeo Rai"	"Nagina Devi"	"Rampravesh Yadav"	"Rambabu Rai"	"Shivshanker Mandal"	"Chandrika Prasad"	"Bhagrith Baitha"	"Rampukar Paswan"	"Satan Paswan"	""	""	""	""
"2"	"1"	"24"	"16"	"363"	"47"	"16"	"15"	"9"	"6"	"2"	"10"	"15"	"523"	""	"523"	""
"3"	"2"	"8"	"95"	"191"	"233"	"25"	"9"	"12"	"9"	"9"	"22"	"17"	"630"	""	"630"	""
"4"	"3"	"16"	"3"	"27"	"100"	"5"	"12"	"5"	"8"	"4"	"20"	"10"	"210"	""	"210"	""
"5"	"4"	"21"	"102"	"111"	"80"	"9"	"3"	"14"	"13"	"2"	"16"	"9"	"380"	""	"380"	""
"6"	"5"	"23"	"60"	"84"	"110"	"9"	"9"	"7"	"5"	"5"	"18"	"22"	"352"	""	"352"	""
"7"	"6"	"1"	"45"	"145"	"58"	"9"	"3"	"2"	"1"	"2"	"1"	"5"	"272"	""	"272"	""
"8"	"7"	"0"	"25"	"5"	"352"	"7"	"1"	"0"	"0"	"2"	"3"	"0"	"395"	""	"395"	""
"9"	"8"	"35"	"114"	"89"	"91"	"3"	"9"	"5"	"2"	"8"	"2"	"3"	"361"	""	"361"	""
"10"	"9"	"7"	"82"	"136"	"150"	"5"	"5"	"4"	"4"	"3"	"4"	"2"	"402"	""	"402"	""
"11"	"10"	"7"	"229"	"34"	"139"	"5"	"16"	"12"	"16"	"12"	"16"	"16"	"502"	""	"502"	""
"12"	"11"	"1"	"111"	"36"	"62"	"117"	"6"	"3"	"0"	"4"	"7"	"1"	"348"	""	"348"	""
"13"	"12"	"3"	"5"	"191"	"65"	"33"	"3"	"1"	"0"	"0"	"1"	"1"	"303"	""	"303"	""
"14"	"13"	"26"	"2"	"19"	"266"	"13"	"10"	"2"	"6"	"2"	"7"	"8"	"361"	""	"361"	""
"15"	"14"	"8"	"97"	"177"	"39"	"7"	"5"	"4"	"0"	"6"	"3"	"6"	"352"	""	"352"	""
"16"	"Grand
Total"	"180"	"986"	"1608"	"1792"	"263"	"106"	"80"	"70"	"61"	"130"	"115"	"5391"	"0"	"5391"	"0"
"17"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"18"	""	"Umesh
Kumar Ranjan Mahto"	"Ram Bahadur Singh"	"Suryadeo Rai"	"Nagina Devi"	"Rampravesh Yadav"	"Rambabu Rai"	"Shivshanker Mandal"	"Chandrika Prasad"	"Bhagrith Baitha"	"Rampukar Paswan"	"Satan Paswan"	""	""	""	""
"19"	"15"	"34"	"210"	"117"	"52"	"11"	"1"	"7"	"10"	"9"	"23"	"27"	"501"	""	"501"	""
"20"	"16"	"41"	"105"	"80"	"347"	"13"	"7"	"6"	"4"	"6"	"12"	"14"	"635"	""	"635"	""
"21"	"17"	"27"	"181"	"55"	"89"	"1"	"3"	"3"	"1"	"2"	"2"	"3"	"367"	""	"367"	""
"22"	"18"	"15"	"41"	"72"	"312"	"20"	"19"	"7"	"17"	"6"	"21"	"32"	"562"	""	"562"	""
"23"	"19"	"8"	"0"	"30"	"231"	"2"	"7"	"1"	"3"	"3"	"5"	"5"	"295"	""	"295"	""
"24"	"20"	"30"	"42"	"185"	"152"	"8"	"17"	"8"	"6"	"12"	"9"	"5"	"474"	""	"474"	""
"25"	"21"	"8"	"226"	"61"	"57"	"1"	"3"	"1"	"1"	"3"	"4"	"4"	"369"	""	"369"	""
"26"	"22"	"17"	"298"	"122"	"73"	"12"	"5"	"11"	"10"	"27"	"36"	"38"	"649"	""	"649"	""
"27"	"23"	"4"	"174"	"42"	"15"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"239"	""	"239"	""
"28"	"24"	"8"	"153"	"8"	"52"	"28"	"2"	"6"	"2"	"5"	"3"	"1"	"268"	""	"268"	""
"29"	"25"	"10"	"146"	"14"	"201"	"17"	"8"	"15"	"5"	"6"	"11"	"3"	"436"	""	"436"	""
"30"	"26"	"6"	"8"	"69"	"137"	"19"	"7"	"2"	"3"	"0"	"7"	"8"	"266"	""	"266"	""
"31"	"27"	"2"	"12"	"127"	"73"	"4"	"3"	"1"	"0"	"1"	"6"	"2"	"231"	""	"231"	""
"32"	"28"	"21"	"268"	"74"	"108"	"28"	"13"	"10"	"14"	"11"	"20"	"21"	"588"	""	"588"	""
"33"	"Grand
Total"	"231"	"1864"	"1056"	"1899"	"164"	"96"	"79"	"76"	"91"	"161"	"163"	"5880"	"0"	"5880"	"0"
"34"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"35"	""	"Umesh
Kumar Ranjan Mahto"	"Ram Bahadur Singh"	"Suryadeo Rai"	"Nagina Devi"	"Rampravesh Yadav"	"Rambabu Rai"	"Shivshanker Mandal"	"Chandrika Prasad"	"Bhagrith Baitha"	"Rampukar Paswan"	"Satan Paswan"	""	""	""	""
"36"	"29"	"9"	"80"	"54"	"122"	"4"	"13"	"5"	"7"	"4"	"9"	"3"	"310"	""	"310"	""
"37"	"30"	"8"	"37"	"135"	"169"	"18"	"5"	"7"	"4"	"3"	"9"	"3"	"398"	""	"398"	""
"38"	"31"	"31"	"24"	"227"	"210"	"5"	"14"	"8"	"4"	"3"	"9"	"11"	"546"	""	"546"	""
"39"	"32"	"10"	"66"	"198"	"149"	"9"	"11"	"5"	"7"	"7"	"9"	"24"	"495"	""	"495"	""
"40"	"33"	"19"	"114"	"227"	"152"	"11"	"11"	"9"	"3"	"5"	"14"	"7"	"572"	""	"572"	""
"41"	"34"	"2"	"119"	"16"	"26"	"1"	"0"	"1"	"3"	"1"	"6"	"0"	"175"	""	"175"	""
"42"	"35"	"9"	"802"	"23"	"12"	"4"	"2"	"5"	"1"	"1"	"9"	"7"	"875"	""	"875"	""
"43"	"36"	"9"	"70"	"101"	"105"	"4"	"7"	"4"	"3"	"4"	"17"	"24"	"348"	""	"348"	""
"44"	"37"	"23"	"42"	"181"	"102"	"38"	"10"	"4"	"5"	"0"	"9"	"11"	"425"	""	"425"	""
"45"	"38"	"4"	"158"	"141"	"41"	"4"	"3"	"5"	"0"	"3"	"8"	"6"	"373"	""	"373"	""
"46"	"39"	"23"	"6"	"104"	"224"	"36"	"10"	"9"	"10"	"10"	"27"	"25"	"484"	""	"484"	""
"47"	"40"	"4"	"177"	"55"	"82"	"11"	"3"	"2"	"2"	"2"	"2"	"2"	"342"	""	"342"	""
"48"	"41"	"28"	"257"	"36"	"53"	"36"	"7"	"6"	"8"	"13"	"14"	"20"	"478"	""	"478"	""
"49"	"42"	"28"	"128"	"52"	"130"	"6"	"4"	"3"	"4"	"2"	"10"	"6"	"373"	""	"373"	""
"50"	"Grand
Total"	"207"	"2080"	"1550"	"1577"	"187"	"100"	"73"	"61"	"58"	"152"	"149"	"6194"	"0"	"6194"	"0"
"51"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"52"	""	"Umesh
Kumar Ranjan Mahto"	"Ram Bahadur Singh"	"Suryadeo Rai"	"Nagina Devi"	"Rampravesh Yadav"	"Rambabu Rai"	"Shivshanker Mandal"	"Chandrika Prasad"	"Bhagrith Baitha"	"Rampukar Paswan"	"Satan Paswan"	""	""	""	""
"53"	"43"	"13"	"139"	"78"	"221"	"19"	"13"	"10"	"17"	"9"	"10"	"21"	"550"	""	"550"	""
"54"	"44"	"22"	"67"	"105"	"296"	"122"	"19"	"16"	"15"	"10"	"15"	"27"	"714"	""	"714"	""
"55"	"45"	"2"	"5"	"62"	"253"	"35"	"7"	"1"	"0"	"0"	"3"	"2"	"370"	""	"370"	""
"56"	"46"	"6"	"102"	"61"	"205"	"78"	"13"	"6"	"7"	"2"	"14"	"15"	"509"	""	"509"	""
"57"	"47"	"13"	"99"	"15"	"68"	"66"	"5"	"13"	"4"	"4"	"3"	"3"	"293"	""	"293"	""
"58"	"48"	"58"	"130"	"17"	"239"	"59"	"15"	"10"	"7"	"7"	"8"	"8"	"558"	""	"558"	""
"59"	"49"	"9"	"42"	"98"	"198"	"16"	"13"	"11"	"11"	"3"	"17"	"13"	"431"	""	"431"	""
"60"	"50"	"40"	"26"	"133"	"168"	"24"	"12"	"5"	"9"	"6"	"17"	"17"	"457"	""	"457"	""
"61"	"51"	"7"	"8"	"195"	"70"	"3"	"2"	"2"	"4"	"2"	"5"	"3"	"301"	""	"301"	""
