"Booths"	"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"Booth No"	1	2	3	4	5	6	7	8	9	10
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"1"	136	7	157	37	4	3	7	6	7	-364
"4"	"2"	11	0	392	4	0	0	0	0	0	-407
"5"	"3"	160	42	115	14	0	1	4	3	3	-342
"6"	"4"	121	6	127	5	1	0	1	0	6	-267
"7"	"5"	287	4	38	12	0	1	5	2	0	-349
"8"	"6"	220	4	60	66	3	4	9	2	3	-371
"9"	"7"	44	4	485	16	0	1	1	1	0	-552
"10"	"8"	427	4	52	94	15	5	16	1	11	-625
"11"	"9"	642	2	59	15	1	1	2	1	2	-725
"12"	"10"	352	11	70	66	3	3	9	2	6	-522
"13"	"11"	36	5	300	11	1	0	0	0	1	-354
"14"	"12"	236	2	48	168	9	6	16	5	5	-495
"15"	"13"	221	3	22	160	3	7	16	4	5	-441
"16"	"14"	304	10	12	47	5	5	15	10	17	-425
"17"	"15"	219	28	86	76	12	9	24	7	10	-471
"18"	"16"	462	7	21	3	1	1	3	2	6	-506
"19"	"17"	234	35	17	40	1	5	4	1	3	-340
"20"	"18"	236	53	28	15	2	0	5	1	2	-342
"21"	"19"	410	19	165	85	6	11	20	10	11	-737
"22"	"20"	280	11	132	40	5	4	6	3	4	-485
"23"	"21"	38	4	191	86	3	3	15	4	12	-356
"24"	"22"	161	22	83	37	6	6	6	2	5	-328
"25"	"23"	100	5	55	412	20	12	37	5	17	-663
"26"	"24"	318	22	195	91	7	3	13	3	4	-656
"27"	"25"	262	20	23	100	5	6	17	6	9	-448
"28"	"26"	96	62	223	113	13	16	30	9	5	-567
"29"	"27"	115	17	162	108	14	16	26	6	23	-487
"30"	"28"	121	55	169	67	16	14	23	11	29	-505
"31"	"29"	26	50	199	29	3	3	8	7	16	-341
"32"	"30"	47	7	65	316	27	36	46	5	15	-564
"33"	"31"	79	0	29	62	2	0	16	2	8	-198
"34"	"32"	71	8	130	133	7	6	9	1	5	-370
"35"	"33"	201	7	53	273	19	10	37	2	13	-615
"36"	"34"	28	14	37	324	12	20	20	9	2	-466
"37"	"35"	167	13	37	127	19	20	40	11	6	-440
"38"	"36"	203	14	172	47	3	4	15	2	5	-465
"39"	"37"	126	14	154	63	2	5	8	3	3	-378
"40"	"38"	55	11	90	41	6	2	7	3	10	-225
"41"	"39"	36	7	162	77	4	5	18	7	3	-319
"42"	"40"	76	164	133	22	9	4	12	8	19	-447
"43"	"41"	228	4	24	38	3	2	10	6	4	-319
"44"	"42"	178	10	32	207	14	12	25	7	4	-489
"45"	"43"	69	6	29	169	10	16	25	8	9	-341
"46"	"44"	60	4	56	179	11	24	38	9	18	-399
"47"	"45"	63	9	116	172	10	12	61	10	2	-455
"48"	"46"	94	7	62	169	14	15	16	3	16	-396
"49"	"47"	72	6	218	307	14	10	37	12	22	-698
"50"	"48"	188	15	134	202	13	20	41	7	5	-625
"51"	"49"	150	7	163	106	1	4	13	3	7	-454
"52"	"50"	204	18	65	117	17	9	36	7	3	-476
"53"	"51"	60	8	40	131	9	6	11	5	5	-275
"54"	"52"	148	11	71	122	22	7	17	4	14	-416
"55"	"53"	48	3	111	120	9	6	17	4	1	-319
"56"	"54"	144	5	50	85	8	12	30	13	21	-368
"57"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	"Booth No"	1	2	3	4	5	6	7	8	9	10
"59"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"60"	"55"	293	11	78	17	0	2	5	4	2	-412
"61"	"56"	288	10	84	88	10	3	31	8	17	-539
"62"	"57"	199	5	112	94	10	4	22	3	6	-455
"63"	"58"	450	5	18	21	1	1	4	2	0	-502
"64"	"59"	246	6	107	28	4	3	4	7	20	-425
"65"	"60"	80	0	67	183	12	6	14	1	7	-370
"66"	"61"	159	9	78	110	14	7	22	7	9	-415
"67"	"62"	121	11	64	128	14	11	41	6	8	-404
"68"	"63"	238	3	49	83	9	4	12	3	4	-405
"69"	"64"	225	7	61	209	19	13	39	8	17	-598
"70"	"65"	278	8	31	117	8	4	19	4	3	-472
"71"	"66"	267	14	104	98	8	5	21	8	10	-535
"72"	"67"	147	7	164	92	12	10	35	12	12	-491
"73"	"68"	112	11	239	114	15	24	27	9	16	-567
"74"	"69"	344	0	35	70	3	3	7	1	2	-465
"75"	"70"	178	8	127	69	10	11	22	9	13	-447
"76"	"71"	196	3	85	90	10	7	20	3	11	-425
"77"	"72"	154	8	82	31	3	2	9	5	3	-297
"78"	"73"	222	16	91	228	20	21	54	20	33	-705
"79"	"74"	42	3	139	77	7	8	12	5	5	-298
"80"	"75"	23	6	151	165	15	19	36	10	16	-441
"81"	"76"	153	20	227	103	9	8	19	3	4	-546
"82"	"77"	346	13	86	108	12	6	16	1	6	-594
"83"	"78"	223	14	117	58	9	2	22	4	8	-457
"84"	"79"	81	4	186	18	5	2	6	1	6	-309
"85"	"80"	247	76	288	42	8	4	11	9	26	-711
"86"	"81"	381	34	124	62	13	4	22	13	14	-667
"87"	"82"	436	19	43	24	2	1	5	1	5	-536
"88"	"83"	475	19	67	30	7	3	9	5	20	-635
"89"	"84"	197	29	135	31	4	4	8	10	12	-430
"90"	"85"	302	17	43	7	6	3	1	2	14	-395
"91"	"86"	138	19	100	100	10	10	21	3	7	-408
"92"	"87"	457	23	146	11	3	4	8	4	11	-667
"93"	"88"	207	11	156	17	3	3	5	3	3	-408
"94"	"89"	164	7	163	61	5	2	18	2	2	-424
"95"	"90"	94	2	44	95	2	9	11	6	1	-264
"96"	"91"	318	17	82	26	4	2	9	1	5	-464
"97"	"92"	239	16	116	73	15	12	41	6	10	-528
"98"	"93"	219	6	121	28	4	3	16	3	3	-403
"99"	"94"	220	10	65	30	1	3	18	5	3	-355
"100"	"95"	55	4	344	61	4	3	12	1	6	-490
"101"	"96"	11	5	210	60	1	2	4	2	0	-295
"102"	"97"	11	3	487	13	0	0	9	3	4	-530
"103"	"98"	112	1	298	49	4	3	6	2	23	-498
"104"	"99"	214	10	139	4	5	5	5	4	13	-399
"105"	"100"	378	9	84	10	2	1	3	8	9	-504
"106"	"101"	149	14	435	29	11	6	9	5	11	-669
"107"	"102"	444	12	70	19	4	1	6	1	7	-564
"108"	"103"	500	10	39	29	9	0	2	1	8	-598
"109"	"104"	203	7	192	48	7	4	10	3	3	-477
"110"	"105"	301	8	137	37	6	1	11	15	19	-535
"111"	"106"	406	10	165	13	1	3	3	3	17	-621
"112"	"107"	481	22	49	18	6	6	6	7	11	-606
"113"	"108"	480	5	150	10	0	0	3	2	4	-654
"114"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"115"	"Booth No"	1	2	3	4	5	6	7	8	9	10
"116"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	"109"	403	12	64	17	0	1	3	1	3	-504
"118"	"110"	427	7	99	53	0	2	4	1	3	-596
"119"	"111"	475	4	93	8	0	0	3	0	3	-586
"120"	"112"	130	12	144	88	5	0	26	6	4	-415
"121"	"113"	158	15	137	49	1	5	8	2	2	-377
"122"	"114"	208	12	241	32	7	5	12	4	15	-536
"123"	"115"	215	9	78	150	9	11	22	7	6	-507
"124"	"116"	137	15	157	56	7	5	12	3	10	-402
"125"	"117"	142	14	104	82	6	7	10	6	14	-385
"126"	"118"	246	4	140	51	6	4	9	1	1	-462
"127"	"119"	213	12	117	105	12	6	11	10	21	-507
"128"	"120"	89	9	56	151	15	19	22	8	7	-376
"129"	"121"	129	3	44	240	15	8	24	5	9	-477
"130"	"122"	50	2	24	96	1	11	7	2	3	-196
"131"	"123"	4	1	72	62	6	3	8	3	11	-170
"132"	"124"	242	6	32	46	6	5	14	3	8	-362
"133"	"125"	103	10	48	39	4	0	18	9	20	-251
"134"	"126"	122	8	308	18	6	2	3	2	3	-472
"135"	"127"	126	5	237	26	5	1	11	2	8	-421
"136"	"128"	253	3	75	35	3	1	6	3	4	-383
"137"	"129"	231	8	62	53	4	4	15	6	9	-392
"138"	"130"	24	1	784	12	0	0	3	0	0	-824
"139"	"131"	136	16	285	45	8	6	17	8	23	-544
"140"	"132"	279	10	136	26	4	1	7	3	17	-483
"141"	"133"	84	4	437	17	1	1	7	1	7	-559
"142"	"134"	112	9	115	19	7	4	11	9	35	-321
"143"	"135"	75	1	79	27	4	1	3	0	2	-192
"144"	"136"	289	5	69	30	5	4	12	5	17	-436
"145"	"137"	147	15	235	79	5	9	21	7	22	-540
"146"	"138"	132	12	150	25	1	6	8	5	6	-345
"147"	"139"	204	11	288	69	8	7	10	8	10	-615
"148"	"140"	215	11	93	103	5	10	16	2	14	-469
"149"	"141"	381	15	94	88	12	4	26	9	14	-643
"150"	"142"	172	13	209	92	12	8	19	13	29	-567
"151"	"143"	362	6	178	51	8	0	11	6	12	-634
"152"	"144"	268	12	225	16	5	1	8	1	5	-541
"153"	"145"	419	7	62	16	1	1	8	1	17	-532
"154"	"146"	401	15	95	22	4	4	5	4	4	-554
"155"	"147"	306	15	81	0	2	1	5	4	14	-428
"156"	"148"	268	23	115	38	1	3	7	5	6	-466
"157"	"149"	185	19	327	28	6	5	20	4	10	-604
"158"	"150"	355	11	74	29	8	4	2	7	15	-505
"159"	"151"	215	5	144	103	9	9	16	6	10	-517
"160"	"152"	43	6	220	97	18	4	19	8	10	-425
"161"	"153"	105	7	99	142	10	8	32	3	15	-421
"162"	"154"	86	8	185	31	5	2	12	2	1	-332
"163"	"155"	245	14	164	80	83	12	31	4	6	-639
"164"	"156"	149	7	158	38	8	6	18	5	13	-402
"165"	"157"	20	10	204	168	26	29	26	10	23	-516
"166"	"158"	89	13	272	184	13	18	41	8	12	-650
"167"	"159"	197	24	406	52	11	8	7	6	10	-721
"168"	"160"	55	4	262	24	2	0	10	4	7	-368
"169"	"161"	52	4	444	9	0	0	0	0	2	-511
"170"	"162"	81	36	194	41	9	3	8	6	6	-384
"171"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"172"	"Booth No"	1	2	3	4	5	6	7	8	9	10
"173"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
