"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X245026.74.245100.38.Jhanjharpur"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"154"	"107"	"261"	"264"	"7"	"7"	"5"	"4"	"3"	"5"	"2"	"13"	"11"	"582"	""	"582"	""
"155"	"108"	"266"	"254"	"6"	"10"	"5"	"0"	"1"	"5"	"3"	"8"	"16"	"574"	""	"574"	""
"156"	"109"	"132"	"351"	"8"	"22"	"8"	"8"	"5"	"102"	"14"	"12"	"40"	"702"	""	"702"	""
"157"	"110"	"89"	"369"	"11"	"30"	"10"	"1"	"9"	"90"	"15"	"24"	"41"	"689"	""	"689"	""
"158"	"Total -8"	"18731"	"27919"	"1107"	"930"	"1938"	"365"	"357"	"915"	"528"	"1058"	"2006"	"55854"	"0"	"55854"	"0"
"159"	""	""	""	""	""	""	"245026+74=245100
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"160"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"161"	""	"Jagat Narayan Singh"	"Nitish Mishra"	"Pramod Kumar Paswan"	"Ram Narayan Yadav"	"Harkhu Jha"	"Buchru Paswan"	"Mahendra Yadav"	"Yognath Mandal"	"Ashok Kumar Mahto"	"Lakshmi Mukhiya"	"Hare Krishna Chaudhary"	""	""	""	""
"162"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"163"	"B.F."	"18731"	"27919"	"1107"	"930"	"1938"	"365"	"357"	"915"	"528"	"1058"	"2006"	"55854"	"0"	"55854"	""
"164"	"111"	"122"	"239"	"6"	"8"	"0"	"9"	"3"	"34"	"10"	"4"	"27"	"462"	""	"462"	""
"165"	"112"	"95"	"346"	"7"	"20"	"8"	"0"	"2"	"9"	"6"	"3"	"11"	"507"	""	"507"	""
"166"	"113"	"179"	"292"	"16"	"18"	"18"	"3"	"5"	"15"	"11"	"20"	"39"	"616"	""	"616"	""
"167"	"114"	"90"	"358"	"8"	"10"	"9"	"3"	"1"	"22"	"3"	"6"	"19"	"529"	""	"529"	""
"168"	"115"	"72"	"186"	"3"	"2"	"7"	"1"	"0"	"1"	"0"	"1"	"3"	"276"	""	"276"	""
"169"	"116"	"188"	"392"	"11"	"14"	"29"	"4"	"5"	"16"	"7"	"17"	"25"	"708"	""	"708"	""
"170"	"117"	"180"	"309"	"11"	"7"	"18"	"2"	"4"	"2"	"3"	"5"	"9"	"550"	""	"550"	""
"171"	"118"	"111"	"324"	"7"	"13"	"9"	"1"	"4"	"5"	"3"	"5"	"10"	"492"	""	"492"	""
"172"	"119"	"66"	"174"	"5"	"4"	"50"	"0"	"0"	"1"	"3"	"4"	"4"	"311"	""	"311"	""
"173"	"120"	"368"	"67"	"2"	"5"	"6"	"0"	"0"	"3"	"2"	"1"	"8"	"462"	""	"462"	""
"174"	"121"	"423"	"53"	"3"	"12"	"3"	"4"	"3"	"0"	"6"	"12"	"30"	"549"	""	"549"	""
"175"	"122"	"216"	"218"	"9"	"6"	"11"	"4"	"2"	"1"	"3"	"6"	"14"	"490"	""	"490"	""
"176"	"123"	"173"	"187"	"10"	"4"	"15"	"2"	"5"	"9"	"8"	"12"	"39"	"464"	""	"464"	""
"177"	"124"	"128"	"304"	"7"	"4"	"9"	"3"	"4"	"7"	"5"	"13"	"38"	"522"	""	"522"	""
"178"	"Total -9"	"21142"	"31368"	"1212"	"1057"	"2130"	"401"	"395"	"1040"	"598"	"1167"	"2282"	"62792"	"0"	"62792"	"0"
"179"	""	""	""	""	""	""	"245026+74=245100
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"180"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	"Jagat Narayan Singh"	"Nitish Mishra"	"Pramod Kumar Paswan"	"Ram Narayan Yadav"	"Harkhu Jha"	"Buchru Paswan"	"Mahendra Yadav"	"Yognath Mandal"	"Ashok Kumar Mahto"	"Lakshmi Mukhiya"	"Hare Krishna Chaudhary"	""	""	""	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"183"	"B.F."	"21142"	"31368"	"1212"	"1057"	"2130"	"401"	"395"	"1040"	"598"	"1167"	"2282"	"62792"	"0"	"62792"	""
"184"	"125"	"28"	"269"	"2"	"2"	"5"	"0"	"1"	"0"	"0"	"0"	"5"	"312"	""	"312"	""
"185"	"126"	"165"	"123"	"2"	"2"	"22"	"1"	"3"	"2"	"3"	"1"	"11"	"335"	""	"335"	""
"186"	"127"	"132"	"414"	"7"	"3"	"11"	"4"	"4"	"4"	"4"	"6"	"23"	"612"	""	"612"	""
"187"	"128"	"45"	"303"	"2"	"3"	"4"	"2"	"3"	"4"	"1"	"7"	"6"	"380"	""	"380"	""
"188"	"129"	"202"	"145"	"5"	"23"	"8"	"1"	"4"	"5"	"2"	"11"	"4"	"410"	""	"410"	""
"189"	"130"	"73"	"232"	"2"	"34"	"5"	"1"	"1"	"0"	"0"	"3"	"7"	"358"	""	"358"	""
"190"	"131"	"99"	"286"	"5"	"3"	"15"	"2"	"1"	"2"	"1"	"3"	"9"	"426"	""	"426"	""
"191"	"132"	"151"	"197"	"4"	"8"	"11"	"0"	"3"	"4"	"4"	"14"	"23"	"419"	""	"419"	""
"192"	"133"	"211"	"294"	"2"	"11"	"18"	"8"	"0"	"5"	"5"	"15"	"34"	"603"	""	"603"	""
"193"	"134"	"215"	"413"	"7"	"5"	"10"	"2"	"9"	"8"	"10"	"12"	"27"	"718"	""	"718"	""
"194"	"135"	"167"	"188"	"5"	"6"	"4"	"0"	"3"	"2"	"10"	"10"	"22"	"417"	""	"417"	""
"195"	"136"	"239"	"237"	"7"	"25"	"5"	"3"	"1"	"0"	"6"	"4"	"13"	"540"	""	"540"	""
"196"	"137"	"97"	"391"	"5"	"10"	"2"	"1"	"3"	"4"	"4"	"3"	"7"	"527"	""	"527"	""
"197"	"138"	"314"	"161"	"4"	"3"	"8"	"2"	"5"	"1"	"3"	"4"	"11"	"516"	""	"516"	""
"198"	"Total -10"	"23280"	"35021"	"1271"	"1195"	"2258"	"428"	"436"	"1081"	"651"	"1260"	"2484"	"69365"	"0"	"69365"	"0"
"199"	""	""	""	""	""	""	"245026+74=245100
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"200"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"201"	""	"Jagat Narayan Singh"	"Nitish Mishra"	"Pramod Kumar Paswan"	"Ram Narayan Yadav"	"Harkhu Jha"	"Buchru Paswan"	"Mahendra Yadav"	"Yognath Mandal"	"Ashok Kumar Mahto"	"Lakshmi Mukhiya"	"Hare Krishna Chaudhary"	""	""	""	""
"202"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"203"	"B.F."	"23280"	"35021"	"1271"	"1195"	"2258"	"428"	"436"	"1081"	"651"	"1260"	"2484"	"69365"	"0"	"69365"	""
"204"	"139"	"185"	"243"	"7"	"22"	"70"	"5"	"5"	"7"	"4"	"3"	"15"	"566"	""	"566"	""
"205"	"140"	"118"	"347"	"15"	"17"	"13"	"15"	"10"	"12"	"142"	"12"	"19"	"720"	""	"720"	""
"206"	"141"	"233"	"150"	"5"	"7"	"29"	"10"	"11"	"7"	"140"	"14"	"12"	"618"	""	"618"	""
"207"	"142"	"109"	"214"	"4"	"14"	"9"	"6"	"3"	"12"	"38"	"9"	"24"	"442"	""	"442"	""
"208"	"143"	"82"	"234"	"8"	"4"	"7"	"1"	"4"	"6"	"17"	"7"	"8"	"378"	""	"378"	""
"209"	"144"	"105"	"335"	"10"	"12"	"17"	"10"	"4"	"17"	"97"	"14"	"12"	"633"	""	"633"	""
"210"	"145"	"18"	"239"	"4"	"28"	"21"	"0"	"2"	"4"	"3"	"3"	"12"	"334"	""	"334"	""
"211"	"146"	"81"	"466"	"7"	"7"	"4"	"2"	"1"	"3"	"2"	"8"	"6"	"587"	""	"587"	""
"212"	"146A"	"86"	"163"	"8"	"5"	"5"	"0"	"3"	"3"	"2"	"6"	"7"	"288"	""	"288"	""
"213"	"147"	"149"	"421"	"8"	"21"	"11"	"2"	"5"	"12"	"6"	"16"	"41"	"692"	""	"692"	""
"214"	"148"	"147"	"439"	"5"	"11"	"18"	"8"	"6"	"10"	"5"	"17"	"32"	"698"	""	"698"	""
"215"	"149"	"65"	"265"	"3"	"5"	"18"	"0"	"1"	"1"	"0"	"3"	"8"	"369"	""	"369"	""
"216"	"150"	"54"	"349"	"4"	"11"	"8"	"1"	"3"	"3"	"4"	"14"	"23"	"474"	""	"474"	""
"217"	"150A"	"70"	"253"	"6"	"15"	"6"	"2"	"3"	"2"	"1"	"4"	"6"	"368"	""	"368"	""
"218"	"Total -11"	"24782"	"39139"	"1365"	"1374"	"2494"	"490"	"497"	"1180"	"1112"	"1390"	"2709"	"76532"	"0"	"76532"	"0"
"219"	""	""	""	""	""	""	"245026+74=245100
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"220"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"221"	""	"Jagat Narayan Singh"	"Nitish Mishra"	"Pramod Kumar Paswan"	"Ram Narayan Yadav"	"Harkhu Jha"	"Buchru Paswan"	"Mahendra Yadav"	"Yognath Mandal"	"Ashok Kumar Mahto"	"Lakshmi Mukhiya"	"Hare Krishna Chaudhary"	""	""	""	""
"222"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"223"	"B.F."	"24782"	"39139"	"1365"	"1374"	"2494"	"490"	"497"	"1180"	"1112"	"1390"	"2709"	"76532"	"0"	"76532"	""
"224"	"151"	"16"	"375"	"7"	"27"	"14"	"1"	"4"	"2"	"3"	"10"	"16"	"475"	""	"475"	""
"225"	"152"	"36"	"488"	"0"	"4"	"9"	"0"	"0"	"1"	"1"	"3"	"4"	"546"	""	"546"	""
"226"	"153"	"161"	"223"	"4"	"35"	"6"	"4"	"1"	"4"	"3"	"3"	"24"	"468"	""	"468"	""
"227"	"154"	"132"	"205"	"3"	"27"	"4"	"0"	"1"	"2"	"4"	"5"	"7"	"390"	""	"390"	""
"228"	"155"	"15"	"306"	"2"	"3"	"49"	"6"	"0"	"2"	"1"	"5"	"7"	"396"	""	"396"	""
"229"	"156"	"37"	"294"	"6"	"3"	"25"	"1"	"3"	"2"	"4"	"8"	"15"	"398"	""	"398"	""
"230"	"157"	"92"	"48"	"8"	"256"	"11"	"3"	"3"	"10"	"6"	"3"	"16"	"456"	""	"456"	""
"231"	"158"	"224"	"239"	"18"	"11"	"14"	"9"	"4"	"6"	"28"	"10"	"24"	"587"	""	"587"	""
"232"	"159"	"74"	"124"	"7"	"12"	"24"	"2"	"2"	"5"	"3"	"4"	"22"	"279"	""	"279"	""
"233"	"159A"	"225"	"123"	"5"	"30"	"15"	"3"	"4"	"11"	"1"	"4"	"19"	"440"	""	"440"	""
"234"	"160"	"214"	"165"	"3"	"7"	"13"	"3"	"2"	"2"	"5"	"12"	"16"	"442"	""	"442"	""
"235"	"161"	"249"	"124"	"3"	"12"	"12"	"11"	"2"	"2"	"3"	"4"	"9"	"431"	""	"431"	""
"236"	"162"	"162"	"287"	"7"	"7"	"22"	"0"	"4"	"5"	"2"	"5"	"11"	"512"	""	"512"	""
"237"	"163"	"300"	"275"	"3"	"30"	"10"	"9"	"2"	"10"	"4"	"11"	"21"	"675"	""	"675"	""
"238"	"Total -12"	"26719"	"42415"	"1441"	"1838"	"2722"	"542"	"529"	"1244"	"1180"	"1477"	"2920"	"83027"	"0"	"83027"	"0"
"239"	""	""	""	""	""	""	"245026+74=245100
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"240"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"241"	""	"Jagat Narayan Singh"	"Nitish Mishra"	"Pramod Kumar Paswan"	"Ram Narayan Yadav"	"Harkhu Jha"	"Buchru Paswan"	"Mahendra Yadav"	"Yognath Mandal"	"Ashok Kumar Mahto"	"Lakshmi Mukhiya"	"Hare Krishna Chaudhary"	""	""	""	""
"242"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"243"	"B.F."	"26719"	"42415"	"1441"	"1838"	"2722"	"542"	"529"	"1244"	"1180"	"1477"	"2920"	"83027"	"0"	"83027"	""
"244"	"164"	"32"	"76"	"6"	"108"	"394"	"7"	"8"	"10"	"5"	"10"	"22"	"678"	""	"678"	""
"245"	"165"	"37"	"122"	"11"	"71"	"274"	"16"	"5"	"5"	"3"	"10"	"20"	"574"	""	"574"	""
"246"	"166"	"21"	"58"	"1"	"10"	"241"	"6"	"2"	"0"	"1"	"2"	"8"	"350"	""	"350"	""
"247"	"166A"	"18"	"58"	"1"	"10"	"217"	"1"	"5"	"2"	"3"	"1"	"12"	"328"	""	"328"	""
"248"	"167"	"102"	"135"	"3"	"16"	"60"	"1"	"2"	"3"	"4"	"2"	"6"	"334"	""	"334"	""
"249"	"168"	"405"	"40"	"5"	"66"	"26"	"0"	"0"	"2"	"2"	"4"	"4"	"554"	""	"554"	""
"250"	"169"	"246"	"94"	"2"	"0"	"5"	"0"	"2"	"0"	"1"	"2"	"6"	"358"	""	"358"	""
"251"	"170"	"251"	"63"	"3"	"11"	"38"	"2"	"9"	"0"	"4"	"7"	"16"	"404"	""	"404"	""
"252"	"171"	"283"	"193"	"5"	"2"	"9"	"1"	"0"	"1"	"0"	"4"	"7"	"505"	""	"505"	""
"253"	"172"	"82"	"123"	"21"	"127"	"308"	"28"	"12"	"13"	"2"	"11"	"15"	"742"	""	"742"	""
"254"	"173"	"358"	"233"	"5"	"6"	"16"	"3"	"1"	"2"	"1"	"5"	"8"	"638"	""	"638"	""
"255"	"174"	"466"	"220"	"6"	"1"	"2"	"4"	"6"	"5"	"5"	"6"	"22"	"743"	""	"743"	""
"256"	"175"	"68"	"341"	"1"	"7"	"42"	"2"	"1"	"0"	"2"	"4"	"14"	"482"	""	"482"	""
"257"	"176"	"131"	"354"	"2"	"13"	"33"	"6"	"10"	"12"	"6"	"10"	"26"	"603"	""	"603"	""
"258"	"Total -13"	"29219"	"44525"	"1513"	"2286"	"4387"	"619"	"592"	"1299"	"1219"	"1555"	"3106"	"90320"	"0"	"90320"	"0"
"259"	""	""	""	""	""	""	"245026+74=245100
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"260"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"261"	""	"Jagat Narayan Singh"	"Nitish Mishra"	"Pramod Kumar Paswan"	"Ram Narayan Yadav"	"Harkhu Jha"	"Buchru Paswan"	"Mahendra Yadav"	"Yognath Mandal"	"Ashok Kumar Mahto"	"Lakshmi Mukhiya"	"Hare Krishna Chaudhary"	""	""	""	""
"262"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"263"	"B.F."	"29219"	"44525"	"1513"	"2286"	"4387"	"619"	"592"	"1299"	"1219"	"1555"	"3106"	"90320"	"0"	"90320"	""
"264"	"177"	"287"	"316"	"7"	"19"	"21"	"6"	"3"	"7"	"7"	"3"	"15"	"691"	""	"691"	""
"265"	"178"	"211"	"289"	"5"	"2"	"6"	"1"	"1"	"1"	"0"	"1"	"10"	"527"	""	"527"	""
"266"	"179"	"126"	"253"	"5"	"8"	"12"	"2"	"4"	"3"	"2"	"3"	"11"	"429"	""	"429"	""
"267"	"180"	"49"	"288"	"1"	"82"	"35"	"3"	"3"	"5"	"2"	"12"	"27"	"507"	""	"507"	""
"268"	"181"	"178"	"217"	"3"	"56"	"17"	"3"	"6"	"6"	"3"	"3"	"19"	"511"	""	"511"	""
"269"	"182"	"191"	"48"	"2"	"245"	"23"	"4"	"6"	"18"	"5"	"8"	"45"	"595"	""	"595"	""
"270"	"183"	"118"	"77"	"5"	"328"	"15"	"7"	"8"	"7"	"4"	"4"	"5"	"578"	""	"578"	""
"271"	"184"	"159"	"119"	"16"	"330"	"30"	"13"	"14"	"35"	"19"	"15"	"58"	"808"	""	"808"	""
"272"	"185"	"122"	"131"	"2"	"120"	"47"	"3"	"4"	"8"	"4"	"7"	"10"	"458"	""	"458"	""
"273"	"186"	"232"	"26"	"7"	"98"	"24"	"4"	"3"	"1"	"4"	"1"	"8"	"408"	""	"408"	""
"274"	"187"	"107"	"126"	"12"	"83"	"26"	"3"	"3"	"5"	"3"	"10"	"16"	"394"	""	"394"	""
"275"	"188"	"38"	"131"	"6"	"11"	"52"	"1"	"1"	"2"	"4"	"5"	"8"	"259"	""	"259"	""
"276"	"189"	"67"	"18"	"10"	"244"	"11"	"2"	"0"	"1"	"1"	"2"	"1"	"357"	""	"357"	""
"277"	"190"	"28"	"302"	"3"	"130"	"71"	"3"	"3"	"3"	"3"	"6"	"9"	"561"	""	"561"	""
"278"	"Total -14"	"31132"	"46866"	"1597"	"4042"	"4777"	"674"	"651"	"1401"	"1280"	"1635"	"3348"	"97403"	"0"	"97403"	"0"
"279"	""	""	""	""	""	""	"245026+74=245100
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"280"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"281"	""	"Jagat Narayan Singh"	"Nitish Mishra"	"Pramod Kumar Paswan"	"Ram Narayan Yadav"	"Harkhu Jha"	"Buchru Paswan"	"Mahendra Yadav"	"Yognath Mandal"	"Ashok Kumar Mahto"	"Lakshmi Mukhiya"	"Hare Krishna Chaudhary"	""	""	""	""
"282"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"283"	"B.F."	"31132"	"46866"	"1597"	"4042"	"4777"	"674"	"651"	"1401"	"1280"	"1635"	"3348"	"97403"	"0"	"97403"	""
"284"	"191"	"70"	"185"	"4"	"62"	"44"	"2"	"3"	"4"	"4"	"3"	"3"	"384"	""	"384"	""
"285"	"192"	"99"	"108"	"2"	"14"	"62"	"2"	"1"	"2"	"1"	"0"	"8"	"299"	""	"299"	""
"286"	"193"	"113"	"147"	"2"	"7"	"26"	"3"	"4"	"7"	"6"	"9"	"31"	"355"	""	"355"	""
"287"	"194"	"128"	"106"	"2"	"9"	"52"	"2"	"2"	"4"	"2"	"7"	"15"	"329"	""	"329"	""
"288"	"195"	"220"	"120"	"4"	"10"	"77"	"5"	"2"	"2"	"4"	"5"	"9"	"458"	""	"458"	""
"289"	"196"	"177"	"77"	"2"	"11"	"48"	"5"	"2"	"1"	"1"	"1"	"2"	"327"	""	"327"	""
"290"	"197"	"214"	"116"	"9"	"15"	"142"	"3"	"5"	"8"	"4"	"7"	"18"	"541"	""	"541"	""
"291"	"198"	"316"	"306"	"9"	"8"	"8"	"2"	"2"	"4"	"6"	"9"	"18"	"688"	""	"688"	""
"292"	"199"	"220"	"137"	"2"	"5"	"59"	"2"	"1"	"0"	"2"	"1"	"2"	"431"	""	"431"	""
"293"	"200"	"51"	"85"	"3"	"23"	"135"	"3"	"2"	"2"	"4"	"3"	"16"	"327"	""	"327"	""
"294"	"201"	"6"	"173"	"3"	"0"	"10"	"0"	"1"	"0"	"4"	"1"	"11"	"209"	""	"209"	""
"295"	"202"	"153"	"319"	"6"	"10"	"9"	"8"	"4"	"5"	"5"	"2"	"7"	"528"	""	"528"	""
"296"	"203"	"206"	"464"	"8"	"8"	"13"	"0"	"3"	"4"	"2"	"1"	"14"	"723"	""	"723"	""
"297"	"204"	"101"	"200"	"6"	"9"	"15"	"3"	"0"	"4"	"0"	"1"	"11"	"350"	""	"350"	""
"298"	"Total -15"	"33206"	"49409"	"1659"	"4233"	"5477"	"714"	"683"	"1448"	"1325"	"1685"	"3513"	"103352"	"0"	"103352"	"0"
"299"	""	""	""	""	""	""	"245026+74=245100
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"300"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"301"	""	"Jagat Narayan Singh"	"Nitish Mishra"	"Pramod Kumar Paswan"	"Ram Narayan Yadav"	"Harkhu Jha"	"Buchru Paswan"	"Mahendra Yadav"	"Yognath Mandal"	"Ashok Kumar Mahto"	"Lakshmi Mukhiya"	"Hare Krishna Chaudhary"	""	""	""	""
"302"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"303"	"B.F."	"33206"	"49409"	"1659"	"4233"	"5477"	"714"	"683"	"1448"	"1325"	"1685"	"3513"	"103352"	"0"	"103352"	""
"304"	"204A"	"189"	"149"	"6"	"3"	"3"	"1"	"1"	"2"	"1"	"2"	"3"	"360"	""	"360"	""
"305"	"205"	"92"	"310"	"4"	"10"	"40"	"1"	"1"	"2"	"1"	"4"	"4"	"469"	""	"469"	""
"306"	"206"	"57"	"201"	"6"	"5"	"47"	"4"	"4"	"9"	"7"	"9"	"28"	"377"	""	"377"	""
"307"	"207"	"69"	"283"	"5"	"27"	"4"	"2"	"3"	"9"	"3"	"5"	"20"	"430"	""	"430"	""
"308"	"208"	"122"	"417"	"8"	"9"	"26"	"2"	"2"	"10"	"6"	"20"	"39"	"661"	""	"661"	""
"309"	"209"	"22"	"328"	"3"	"3"	"10"	"1"	"4"	"2"	"1"	"1"	"4"	"379"	""	"379"	""
"310"	"210"	"14"	"303"	"1"	"0"	"3"	"2"	"0"	"1"	"1"	"0"	"3"	"328"	""	"328"	""
"311"	"211"	"76"	"396"	"7"	"8"	"6"	"3"	"3"	"4"	"1"	"13"	"20"	"537"	""	"537"	""
"312"	"212"	"145"	"323"	"8"	"4"	"14"	"1"	"2"	"2"	"5"	"14"	"30"	"548"	""	"548"	""
"313"	"213"	"181"	"273"	"12"	"11"	"10"	"1"	"3"	"8"	"4"	"10"	"26"	"539"	""	"539"	""
"314"	"214"	"23"	"236"	"8"	"1"	"27"	"4"	"0"	"2"	"3"	"1"	"8"	"313"	""	"313"	""
"315"	"215"	"156"	"308"	"5"	"10"	"3"	"1"	"2"	"3"	"1"	"8"	"23"	"520"	""	"520"	""
"316"	"216"	"27"	"296"	"10"	"31"	"11"	"4"	"2"	"10"	"6"	"8"	"30"	"435"	""	"435"	""
"317"	"217"	"82"	"469"	"8"	"6"	"8"	"2"	"5"	"8"	"3"	"9"	"26"	"626"	""	"626"	""
"318"	"Total -16"	"34461"	"53701"	"1750"	"4361"	"5689"	"743"	"715"	"1520"	"1368"	"1789"	"3777"	"109874"	"0"	"109874"	"0"
"319"	""	""	""	""	""	""	"245026+74=245100
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"320"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"321"	""	"Jagat Narayan Singh"	"Nitish Mishra"	"Pramod Kumar Paswan"	"Ram Narayan Yadav"	"Harkhu Jha"	"Buchru Paswan"	"Mahendra Yadav"	"Yognath Mandal"	"Ashok Kumar Mahto"	"Lakshmi Mukhiya"	"Hare Krishna Chaudhary"	""	""	""	""
"322"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"323"	"B.F."	"34461"	"53701"	"1750"	"4361"	"5689"	"743"	"715"	"1520"	"1368"	"1789"	"3777"	"109874"	"0"	"109874"	""
