"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 148---Alauli (SC) CONSTITUENCY"	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :148---Alauli (SC)                                                                                            No of Voters :194962"	""	""	""	""	""	""	""	""	""
"5"	"Candidates Name BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""
"6"	""	"DASHARATH RAM"	"PASHUPATI KUMAR PARAS"	"RAJESH KUMAR SADA"	"RAM CHANDRA SADA"	"BORHAN SADA"	"SANJAY RAM"	"HANS KUMAR"	"SHUSHILA DEVI"	"Total Valid Votes"
"69"	"59"	"21"	"406"	"16"	"261"	"14"	"6"	"26"	"12"	"762"
"70"	"60"	"15"	"272"	"20"	"405"	"14"	"9"	"29"	"26"	"790"
"71"	"61"	"14"	"87"	"17"	"205"	"10"	"3"	"17"	"12"	"365"
"72"	"62"	"14"	"167"	"17"	"196"	"14"	"4"	"17"	"16"	"445"
"73"	"63"	"26"	"226"	"17"	"306"	"15"	"16"	"37"	"13"	"656"
"74"	"64"	"19"	"118"	"10"	"107"	"2"	"2"	"7"	"6"	"271"
"75"	"65"	"16"	"32"	"3"	"403"	"12"	"5"	"4"	"6"	"481"
"76"	"66"	"7"	"85"	"8"	"293"	"7"	"0"	"6"	"4"	"410"
"77"	"67"	"11"	"114"	"27"	"540"	"14"	"4"	"19"	"6"	"735"
"78"	"68"	"8"	"139"	"5"	"224"	"0"	"2"	"11"	"6"	"395"
"79"	"69"	"13"	"117"	"20"	"291"	"9"	"4"	"13"	"8"	"475"
"80"	"70"	"10"	"330"	"5"	"31"	"5"	"0"	"16"	"4"	"401"
"81"	"71"	"11"	"115"	"12"	"281"	"14"	"2"	"8"	"16"	"459"
"82"	"72"	"22"	"301"	"27"	"392"	"29"	"11"	"39"	"34"	"855"
"83"	"73"	"22"	"55"	"11"	"395"	"20"	"11"	"10"	"18"	"542"
"84"	"74"	"15"	"182"	"23"	"310"	"28"	"10"	"35"	"28"	"631"
"85"	"75"	"28"	"96"	"24"	"401"	"23"	"12"	"18"	"28"	"630"
"86"	"76"	"29"	"115"	"11"	"408"	"18"	"10"	"33"	"20"	"644"
"87"	"77"	"24"	"381"	"21"	"176"	"14"	"12"	"27"	"14"	"669"
"88"	"78"	"21"	"157"	"21"	"385"	"17"	"9"	"12"	"20"	"642"
"89"	"79"	"12"	"156"	"19"	"384"	"14"	"3"	"11"	"23"	"622"
"90"	"80"	"10"	"131"	"9"	"399"	"9"	"1"	"13"	"4"	"576"
"91"	"81"	"13"	"86"	"13"	"112"	"5"	"3"	"14"	"5"	"251"
"92"	"82"	"6"	"184"	"10"	"221"	"5"	"3"	"8"	"11"	"448"
"93"	"83"	"34"	"250"	"27"	"185"	"14"	"5"	"22"	"16"	"553"
"94"	"84"	"16"	"315"	"34"	"186"	"7"	"3"	"37"	"17"	"615"
"95"	"85"	"28"	"330"	"21"	"235"	"6"	"9"	"25"	"8"	"662"
"96"	"86"	"16"	"248"	"16"	"133"	"3"	"0"	"21"	"9"	"446"
"97"	"87"	"20"	"304"	"25"	"238"	"15"	"5"	"39"	"18"	"664"
"98"	"88"	"21"	"207"	"22"	"385"	"14"	"7"	"28"	"29"	"713"
"99"	"89"	"33"	"258"	"21"	"262"	"14"	"12"	"29"	"26"	"655"
"100"	"90"	"19"	"193"	"20"	"238"	"13"	"10"	"41"	"9"	"543"
"101"	"91"	"36"	"355"	"18"	"71"	"9"	"7"	"15"	"12"	"523"
"102"	"92"	"29"	"246"	"19"	"243"	"15"	"6"	"38"	"22"	"618"
"103"	"93"	"31"	"347"	"19"	"236"	"13"	"7"	"45"	"15"	"713"
"104"	"94"	"22"	"239"	"20"	"495"	"19"	"6"	"41"	"16"	"858"
"105"	"95"	"20"	"223"	"18"	"424"	"17"	"9"	"35"	"9"	"755"
"106"	"96"	"19"	"255"	"29"	"292"	"18"	"8"	"28"	"20"	"669"
"107"	"97"	"21"	"343"	"31"	"155"	"6"	"10"	"52"	"33"	"651"
"108"	"98"	"36"	"406"	"33"	"157"	"22"	"14"	"90"	"32"	"790"
"109"	"99"	"19"	"513"	"14"	"87"	"3"	"5"	"22"	"5"	"668"
"110"	"100"	"23"	"136"	"23"	"463"	"14"	"11"	"30"	"26"	"726"
"111"	"101"	"32"	"306"	"23"	"406"	"24"	"6"	"60"	"17"	"874"
"112"	"102"	"19"	"171"	"14"	"188"	"6"	"2"	"10"	"8"	"418"
"113"	"103"	"22"	"292"	"18"	"142"	"11"	"7"	"35"	"22"	"549"
"114"	"104"	"11"	"154"	"15"	"322"	"18"	"7"	"26"	"23"	"576"
"115"	"105"	"34"	"268"	"27"	"363"	"12"	"0"	"22"	"13"	"739"
"116"	"106"	"23"	"154"	"12"	"440"	"11"	"4"	"18"	"5"	"667"
"117"	"107"	"38"	"191"	"26"	"399"	"28"	"14"	"31"	"46"	"773"
"118"	"108"	"13"	"24"	"19"	"554"	"19"	"4"	"7"	"17"	"657"
"119"	"109"	"23"	"222"	"8"	"69"	"1"	"1"	"19"	"3"	"346"
"120"	"110"	"33"	"173"	"26"	"494"	"18"	"15"	"33"	"28"	"820"
"121"	"111"	"18"	"102"	"15"	"402"	"14"	"5"	"13"	"14"	"583"
"122"	"112"	"18"	"73"	"31"	"501"	"20"	"9"	"18"	"11"	"681"
"123"	"113"	"33"	"209"	"20"	"294"	"14"	"8"	"18"	"7"	"603"
"124"	"114"	"24"	"257"	"24"	"39"	"5"	"4"	"32"	"26"	"411"
"125"	"114A"	"30"	"218"	"26"	"62"	"12"	"3"	"44"	"28"	"423"
"126"	"115"	"17"	"252"	"12"	"460"	"10"	"10"	"17"	"14"	"792"
"127"	"116"	"33"	"226"	"15"	"395"	"20"	"11"	"26"	"24"	"750"
"128"	"117"	"19"	"143"	"20"	"388"	"13"	"3"	"14"	"13"	"613"
"129"	"118"	"14"	"230"	"17"	"332"	"15"	"4"	"35"	"41"	"688"
"130"	"119"	"22"	"426"	"21"	"388"	"9"	"5"	"13"	"10"	"894"
"131"	"120"	"19"	"86"	"8"	"473"	"20"	"3"	"12"	"21"	"642"
"132"	"121"	"16"	"10"	"11"	"603"	"35"	"8"	"10"	"15"	"708"
"133"	"122"	"25"	"90"	"11"	"446"	"36"	"7"	"14"	"15"	"644"
"134"	"123"	"31"	"322"	"28"	"216"	"13"	"7"	"51"	"10"	"678"
"135"	"124"	"7"	"39"	"5"	"134"	"13"	"4"	"4"	"5"	"211"
"136"	"125"	"26"	"205"	"23"	"215"	"16"	"5"	"41"	"87"	"618"
"137"	"126"	"28"	"260"	"15"	"163"	"10"	"11"	"37"	"27"	"551"
"138"	"127"	"13"	"84"	"13"	"405"	"18"	"5"	"9"	"8"	"555"
"139"	"128"	"22"	"116"	"12"	"464"	"25"	"4"	"22"	"19"	"684"
"140"	"129"	"21"	"16"	"11"	"372"	"20"	"10"	"5"	"6"	"461"
"141"	"130"	"16"	"20"	"8"	"314"	"12"	"2"	"8"	"19"	"399"
"142"	"131"	"6"	"26"	"13"	"358"	"28"	"4"	"4"	"4"	"443"
"143"	"132"	"45"	"128"	"23"	"380"	"122"	"10"	"15"	"8"	"731"
"144"	"133"	"18"	"28"	"13"	"465"	"14"	"7"	"7"	"14"	"566"
"145"	"134"	"32"	"201"	"27"	"397"	"30"	"10"	"36"	"28"	"761"
"146"	"135"	"19"	"180"	"23"	"457"	"14"	"6"	"35"	"22"	"756"
"147"	"136"	"12"	"110"	"9"	"373"	"20"	"11"	"26"	"9"	"570"
"148"	"137"	"7"	"124"	"14"	"80"	"6"	"4"	"13"	"6"	"254"
"149"	"138"	"13"	"84"	"15"	"184"	"23"	"5"	"11"	"2"	"337"
"150"	"139"	"20"	"67"	"6"	"374"	"32"	"11"	"13"	"12"	"535"
"151"	"140"	"14"	"68"	"7"	"206"	"15"	"4"	"4"	"8"	"326"
"152"	"141"	"14"	"82"	"19"	"377"	"22"	"10"	"18"	"12"	"554"
"153"	"142"	"30"	"138"	"22"	"256"	"229"	"12"	"40"	"30"	"757"
"154"	"143"	"8"	"112"	"17"	"183"	"7"	"1"	"7"	"12"	"347"
"155"	"144"	"22"	"147"	"12"	"158"	"10"	"3"	"19"	"17"	"388"
"156"	"145"	"42"	"324"	"28"	"224"	"8"	"9"	"27"	"20"	"682"
"157"	"146"	"15"	"104"	"36"	"402"	"21"	"6"	"14"	"25"	"623"
"158"	"147"	"16"	"129"	"55"	"375"	"19"	"8"	"10"	"8"	"620"
"159"	"148"	"25"	"191"	"45"	"279"	"17"	"5"	"16"	"10"	"588"
"160"	"149"	"32"	"185"	"25"	"196"	"10"	"5"	"31"	"14"	"498"
"161"	"150"	"12"	"187"	"21"	"139"	"11"	"4"	"30"	"13"	"417"
"162"	"151"	"11"	"140"	"11"	"204"	"11"	"4"	"9"	"10"	"400"
"163"	"152"	"18"	"153"	"11"	"282"	"14"	"7"	"17"	"14"	"516"
"164"	"153"	"11"	"90"	"11"	"290"	"27"	"5"	"15"	"25"	"474"
"165"	"154"	"12"	"154"	"13"	"125"	"3"	"1"	"6"	"5"	"319"
"166"	"155"	"26"	"289"	"12"	"124"	"8"	"3"	"27"	"12"	"501"
"167"	"156"	"19"	"162"	"24"	"278"	"7"	"3"	"9"	"7"	"509"
"168"	"157"	"16"	"212"	"9"	"120"	"7"	"2"	"21"	"13"	"400"
"169"	"158"	"7"	"144"	"4"	"110"	"2"	"4"	"17"	"5"	"293"
"170"	"159"	"10"	"195"	"28"	"311"	"14"	"5"	"21"	"16"	"600"
