"BOOTH.NO."	"CHANDRASHEKHAR"	"DR..RAMENDRA.KUMAR.YADAV.RAVI"	"RAJENDRA.DAS"	"RAJESH.KUMAR.RAJNISH"	"NAWAL.KISHOR.SINGH"	"RAJ.KUMAR"	"SHASHI.SHEKHAR.YADAV"	"SURESH.KUMAR"	"SWATI.PRIYA"
"126"	113	422	274	4	12	11	9	13	39	13
"127"	114	480	161	8	12	5	4	11	36	21
"128"	115	167	383	11	3	15	4	5	42	15
"129"	NA	275	68	5	3	3	1	1	15	3
"130"	116	185	191	2	6	4	1	3	14	4
"131"	NA	135	198	4	20	6	2	3	24	3
"132"	117	188	233	19	25	7	4	3	34	3
"133"	118	87	406	5	3	7	2	4	78	16
"134"	119	236	171	2	11	3	0	4	24	6
"135"	120	233	289	8	2	11	8	9	41	12
"136"	121	226	236	3	10	9	3	14	39	24
"137"	NA	127	245	8	6	3	1	3	17	17
"138"	122	164	674	17	19	6	3	5	53	8
"139"	123	304	190	4	8	10	2	4	22	8
"140"	124	371	322	14	8	8	4	18	38	14
"141"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"142"	125	310	130	5	11	6	3	7	36	10
"143"	126	581	85	5	2	10	1	5	36	31
"144"	127	515	70	3	10	1	0	4	5	10
"145"	128	199	89	7	15	2	0	4	10	2
"146"	129	166	94	0	11	1	0	2	13	0
"147"	130	190	95	2	24	3	1	5	11	1
"148"	131	171	71	2	8	0	2	7	8	7
"149"	NA	232	247	5	28	11	5	8	59	10
"150"	132	88	423	3	15	1	2	9	54	5
"151"	133	108	163	3	5	4	0	0	9	3
"152"	134	212	205	1	19	4	1	3	26	1
"153"	135	134	111	2	8	1	0	0	10	4
"154"	136	95	173	3	16	4	0	0	17	0
"155"	137	58	125	1	6	1	0	1	13	7
"156"	138	118	226	0	10	0	0	1	21	7
"157"	139	60	230	2	6	4	1	2	33	3
"158"	140	305	78	0	12	4	2	4	7	2
"159"	141	193	139	3	13	6	4	2	31	11
"160"	142	215	172	0	11	4	0	4	29	10
"161"	143	168	134	5	14	7	3	2	19	5
"162"	144	27	203	0	0	1	0	0	19	0
"163"	145	53	349	1	10	2	1	1	34	3
"164"	146	63	398	1	8	2	1	4	54	2
"165"	NA	54	96	1	3	1	1	0	12	0
"166"	147	68	183	1	5	2	1	1	19	5
"167"	NA	91	317	1	4	3	0	0	46	4
"168"	148	151	211	3	8	1	0	1	15	2
"169"	149	47	241	1	9	4	0	4	35	2
"170"	150	32	218	0	1	0	1	2	26	2
"171"	151	127	174	0	7	0	0	9	11	0
"172"	152	179	322	5	10	3	0	7	36	3
"173"	153	182	257	2	11	2	0	0	8	1
"174"	154	240	202	7	2	7	2	1	31	3
"175"	155	142	106	1	4	2	0	2	11	0
"176"	156	239	265	7	12	5	1	1	36	3
"177"	157	242	362	5	23	15	2	7	64	13
"178"	158	68	243	0	7	2	1	4	24	3
"179"	159	70	244	4	10	1	2	3	33	16
"180"	160	515	189	4	6	7	2	6	34	13
"181"	161	246	241	5	13	6	2	5	53	20
"182"	162	139	261	2	5	11	2	6	33	14
"183"	163	334	153	4	3	5	0	4	30	4
"184"	164	140	97	2	7	2	0	1	5	11
"185"	NA	370	197	8	12	14	3	8	26	19
"186"	165	285	192	3	4	8	4	2	22	15
"187"	166	141	468	5	2	10	3	3	26	7
"188"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"189"	167	64	642	8	10	5	6	9	44	7
"190"	168	476	98	4	12	4	1	4	4	2
"191"	169	195	185	7	6	9	4	1	45	19
"192"	170	318	436	14	10	12	6	19	71	37
"193"	171	321	233	3	34	12	7	8	52	31
"194"	172	367	324	5	9	10	2	12	33	8
"195"	173	397	134	5	2	1	1	4	12	2
"196"	174	357	168	7	24	11	3	4	19	9
"197"	175	130	520	6	7	5	6	7	46	20
"198"	NA	73	279	3	2	4	2	3	22	15
"199"	176	238	167	2	6	7	0	7	14	9
