"er.nku.dsUnz.l.a....k"	"csCkh.dqekj.h"	"eql.kfQj..i.kl.oku"	"j.ebZ.j.ke"	"f..koukFk.i.kl.oku"	"l.gnso.j.ke"	"egsUnz.i.kl.oku"	"j.fo...kadj.i.kl.oku"	"j.ke.dqekj..j.t.d"	"j.ke.uanu.i.kl.oku"	"j.s..kk.dqekj.h"	"foUns..oj..i.kl.oku"	"X..k.q.ku.i.kl.oku"	"X..kadj..ek.h"	"f..koukFk.pkS.kj.h"	"dqy..fof.kekU..er"	"i.zfr..ksfi.r..er.ksa.dh.l.a....k"	"fufonr..er.ksa.dh.l.a....k"
"120"	110	27	275	236	5	0	8	8	7	32	4	3	6	30	22	663	NA	NA
"121"	111	69	150	397	11	6	7	15	12	57	2	9	5	27	24	791	NA	NA
"122"	112	31	167	201	6	2	3	9	8	49	4	2	4	14	37	537	NA	NA
"123"	113	31	310	120	2	2	3	4	1	8	2	1	2	25	16	527	NA	NA
"124"	114	14	30	363	0	0	3	2	8	4	2	4	5	8	10	453	NA	NA
"125"	115	15	144	496	3	1	5	2	2	3	2	7	8	10	13	711	NA	NA
"126"	116	22	79	410	4	2	6	7	7	11	2	3	3	12	22	590	NA	NA
"127"	117	17	91	182	2	2	0	0	4	1	1	2	2	4	12	320	NA	NA
"128"	118	34	229	504	9	3	4	6	7	4	2	6	6	17	16	847	NA	NA
"129"	119	28	182	494	7	1	3	4	8	5	3	2	4	7	14	762	NA	NA
"130"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"131"	120	30	340	425	4	4	9	2	2	3	0	1	2	12	2	836	NA	NA
"132"	121	43	105	471	5	3	2	6	5	3	3	2	5	5	6	664	NA	NA
"133"	122	48	151	484	7	5	9	4	8	4	8	10	29	43	35	845	NA	NA
"134"	123	16	227	278	2	3	0	3	0	1	3	3	3	24	19	582	NA	NA
