"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	"ANANT KUMAR SINGH"	"PRADEEP KUMAR"	"SHYAM SUNDAR SINGH"	"SONAM DEVI"	"RAMDAYA L MAHTO"	"GOPAL PRASAD PASWAN"	"BIJENDRA KUMAR"	"MITHLESH YADAV"	"SRI SANJAY SINGH"	""	""	""	""
"2"	"1"	"427"	"15"	"12"	"227"	"131"	"13"	"12"	"6"	"11"	"854"	"0"	"854"	"0"
"3"	"2"	"259"	"5"	"8"	"206"	"6"	"8"	"7"	"15"	"15"	"529"	"0"	"529"	"0"
"4"	"3"	"285"	"6"	"12"	"237"	"19"	"8"	"6"	"7"	"12"	"592"	"0"	"592"	"0"
"5"	"4"	"495"	"6"	"45"	"44"	"5"	"0"	"0"	"1"	"12"	"608"	"0"	"608"	"0"
"6"	"5"	"363"	"6"	"14"	"169"	"9"	"0"	"8"	"5"	"8"	"582"	"0"	"582"	"0"
"7"	"6"	"260"	"2"	"81"	"139"	"4"	"1"	"1"	"1"	"12"	"501"	"0"	"501"	"0"
"8"	"7"	"446"	"2"	"57"	"93"	"5"	"3"	"4"	"1"	"2"	"613"	"0"	"613"	"0"
"9"	"8"	"376"	"9"	"43"	"190"	"13"	"6"	"14"	"4"	"11"	"666"	"0"	"666"	"0"
"10"	"9"	"464"	"22"	"19"	"56"	"7"	"1"	"3"	"2"	"7"	"581"	"0"	"581"	"0"
"11"	"10"	"131"	"4"	"22"	"51"	"3"	"0"	"6"	"3"	"3"	"223"	"0"	"223"	"0"
"12"	"11"	"322"	"1"	"40"	"72"	"10"	"6"	"7"	"7"	"18"	"483"	"0"	"483"	"0"
"13"	"12"	"148"	"3"	"39"	"221"	"16"	"14"	"7"	"4"	"17"	"469"	"0"	"469"	"0"
"14"	"13"	"333"	"10"	"44"	"82"	"17"	"5"	"5"	"6"	"23"	"525"	"0"	"525"	"0"
"15"	"14"	"244"	"7"	"10"	"209"	"116"	"16"	"20"	"11"	"40"	"673"	"0"	"673"	"0"
"16"	"15"	"92"	"1"	"9"	"433"	"5"	"11"	"0"	"113"	"2"	"666"	"0"	"666"	"0"
"17"	"16"	"170"	"3"	"4"	"259"	"13"	"22"	"7"	"30"	"35"	"543"	"0"	"543"	"0"
"18"	"17"	"190"	"5"	"4"	"422"	"44"	"6"	"10"	"64"	"17"	"762"	"0"	"762"	"0"
"19"	"18"	"260"	"20"	"8"	"350"	"25"	"19"	"14"	"19"	"40"	"755"	"0"	"755"	"0"
"20"	"19"	"114"	"4"	"7"	"445"	"16"	"11"	"9"	"20"	"18"	"644"	"0"	"644"	"0"
"21"	"20"	"180"	"2"	"6"	"472"	"12"	"19"	"14"	"46"	"35"	"786"	"0"	"786"	"0"
"22"	"21"	"107"	"3"	"7"	"161"	"7"	"12"	"9"	"55"	"8"	"369"	"0"	"369"	"0"
"23"	"22"	"201"	"4"	"12"	"273"	"29"	"16"	"20"	"36"	"30"	"621"	"0"	"621"	"0"
"24"	"23"	"248"	"5"	"1"	"124"	"12"	"1"	"2"	"3"	"6"	"402"	"0"	"402"	"0"
"25"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"26"	""	"ANANT KUMAR SINGH"	"PRADEEP KUMAR"	"SHYAM SUNDAR SINGH"	"SONAM DEVI"	"RAMDAYA L MAHTO"	"GOPAL PRASAD PASWAN"	"BIJENDRA KUMAR"	"MITHLESH YADAV"	"SRI SANJAY SINGH"	""	""	""	""
"27"	"24"	"241"	"5"	"4"	"61"	"6"	"12"	"2"	"11"	"21"	"363"	"0"	"363"	"0"
"28"	"25"	"381"	"9"	"6"	"127"	"14"	"10"	"14"	"25"	"13"	"599"	"0"	"599"	"0"
"29"	"26"	"201"	"2"	"0"	"118"	"8"	"2"	"2"	"4"	"6"	"343"	"0"	"343"	"0"
"30"	"26 A"	"266"	"1"	"2"	"91"	"8"	"8"	"6"	"6"	"10"	"398"	"0"	"398"	"0"
"31"	"27"	"381"	"7"	"9"	"174"	"16"	"14"	"9"	"32"	"25"	"667"	"0"	"667"	"0"
"32"	"28"	"8"	"0"	"8"	"84"	"3"	"3"	"0"	"1"	"3"	"110"	"0"	"110"	"0"
"33"	"29"	"295"	"5"	"3"	"147"	"24"	"3"	"0"	"1"	"8"	"486"	"0"	"486"	"0"
"34"	"30"	"204"	"6"	"48"	"202"	"12"	"9"	"3"	"12"	"6"	"502"	"0"	"502"	"0"
"35"	"31"	"324"	"1"	"35"	"183"	"6"	"8"	"0"	"4"	"11"	"572"	"0"	"572"	"0"
"36"	"32"	"275"	"4"	"19"	"116"	"11"	"8"	"4"	"17"	"29"	"483"	"0"	"483"	"0"
"37"	"33"	"209"	"0"	"6"	"61"	"2"	"0"	"1"	"3"	"2"	"284"	"0"	"284"	"0"
"38"	"34"	"32"	"0"	"0"	"117"	"7"	"2"	"2"	"1"	"2"	"163"	"0"	"163"	"0"
"39"	"35"	"239"	"8"	"11"	"119"	"10"	"7"	"8"	"38"	"19"	"459"	"0"	"459"	"0"
"40"	"36"	"240"	"5"	"18"	"135"	"4"	"10"	"3"	"15"	"11"	"441"	"0"	"441"	"0"
"41"	"37"	"646"	"0"	"0"	"12"	"1"	"0"	"0"	"1"	"1"	"661"	"0"	"661"	"0"
"42"	"38"	"592"	"2"	"3"	"17"	"1"	"1"	"1"	"0"	"2"	"619"	"0"	"619"	"0"
"43"	"39"	"431"	"7"	"3"	"2"	"0"	"0"	"1"	"1"	"2"	"447"	"0"	"447"	"0"
"44"	"40"	"350"	"4"	"8"	"80"	"3"	"0"	"5"	"1"	"3"	"454"	"0"	"454"	"0"
"45"	"41"	"145"	"73"	"6"	"19"	"3"	"4"	"2"	"5"	"3"	"260"	"0"	"260"	"0"
"46"	"42"	"232"	"3"	"11"	"113"	"1"	"2"	"5"	"7"	"8"	"382"	"0"	"382"	"0"
"47"	"43"	"339"	"5"	"10"	"94"	"7"	"7"	"2"	"3"	"11"	"478"	"0"	"478"	"0"
"48"	"44"	"308"	"9"	"1"	"80"	"1"	"3"	"0"	"2"	"7"	"411"	"0"	"411"	"0"
"49"	"45"	"453"	"5"	"8"	"41"	"3"	"1"	"0"	"7"	"2"	"520"	"0"	"520"	"0"
"50"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"51"	""	"ANANT KUMAR SINGH"	"PRADEEP KUMAR"	"SHYAM SUNDAR SINGH"	"SONAM DEVI"	"RAMDAYA L MAHTO"	"GOPAL PRASAD PASWAN"	"BIJENDRA KUMAR"	"MITHLESH YADAV"	"SRI SANJAY SINGH"	""	""	""	""
"52"	"46"	"324"	"116"	"15"	"113"	"8"	"3"	"1"	"6"	"15"	"601"	"0"	"601"	"0"
"53"	"47"	"258"	"4"	"1"	"62"	"3"	"0"	"0"	"0"	"1"	"329"	"0"	"329"	"0"
"54"	"48"	"328"	"126"	"5"	"41"	"13"	"8"	"4"	"5"	"32"	"562"	"0"	"562"	"0"
"55"	"49"	"335"	"6"	"7"	"54"	"3"	"2"	"2"	"2"	"14"	"425"	"0"	"425"	"0"
"56"	"50"	"197"	"4"	"31"	"158"	"4"	"3"	"1"	"3"	"2"	"403"	"0"	"403"	"0"
"57"	"51"	"220"	"13"	"14"	"75"	"9"	"4"	"4"	"6"	"9"	"354"	"0"	"354"	"0"
"58"	"52"	"123"	"1"	"0"	"9"	"3"	"0"	"0"	"0"	"10"	"146"	"0"	"146"	"0"
"59"	"53"	"50"	"18"	"2"	"47"	"0"	"5"	"0"	"0"	"1"	"123"	"0"	"123"	"0"
"60"	"54"	"262"	"5"	"5"	"42"	"2"	"0"	"1"	"2"	"2"	"321"	"0"	"321"	"0"
"61"	"55"	"292"	"37"	"3"	"54"	"4"	"3"	"2"	"3"	"4"	"402"	"0"	"402"	"0"
"62"	"56"	"452"	"16"	"48"	"50"	"5"	"2"	"0"	"4"	"12"	"589"	"0"	"589"	"0"
"63"	"57"	"264"	"2"	"1"	"60"	"4"	"4"	"3"	"6"	"4"	"348"	"0"	"348"	"0"
"64"	"58"	"285"	"8"	"2"	"69"	"2"	"2"	"2"	"0"	"5"	"375"	"0"	"375"	"0"
"65"	"59"	"184"	"7"	"8"	"149"	"98"	"7"	"6"	"3"	"9"	"471"	"0"	"471"	"0"
"66"	"60"	"358"	"6"	"29"	"33"	"3"	"2"	"5"	"2"	"12"	"450"	"0"	"450"	"0"
"67"	"61"	"127"	"0"	"2"	"9"	"2"	"0"	"0"	"2"	"0"	"142"	"0"	"142"	"0"
"68"	"62"	"246"	"36"	"9"	"76"	"13"	"12"	"6"	"5"	"32"	"435"	"0"	"435"	"0"
