"Candidates.Name.."	"Arjun.Roy"	"Maya.Shankar.Sharan"	"Samir.Kumar.Mahas.eth"	"Sitaram.Yadav"	"S..Abu.Daujan.a"	"Chitara.njan.Giri"	"Mohammad.Afzal.Painther"	"Shankar.Sinha"	"Chandrik.a.Prasad"	"Zahid"	"Dinesh.Prasad"	"Pappu.Kumar.Mishra"	"Mukesh.Kumar.Gupta"	"Total"
"1"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"4"	"1"	"175"	"4"	"10"	"347"	"19"	"3"	"1"	"4"	"2"	"0"	"0"	"2"	"1"	"568"
"5"	"2"	"109"	"6"	"49"	"66"	"88"	"2"	"0"	"7"	"0"	"1"	"6"	"3"	"2"	"339"
"6"	"3"	"238"	"33"	"9"	"18"	"0"	"1"	"1"	"4"	"1"	"2"	"2"	"1"	"0"	"310"
"7"	"4"	"26"	"0"	"12"	"6"	"197"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"247"
"8"	"5"	"251"	"5"	"60"	"179"	"16"	"6"	"4"	"17"	"5"	"2"	"7"	"5"	"1"	"558"
"9"	"6"	"150"	"21"	"75"	"107"	"10"	"1"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"372"
"10"	"7"	"341"	"9"	"212"	"17"	"17"	"2"	"1"	"5"	"0"	"1"	"1"	"1"	"0"	"607"
"11"	"8"	"48"	"3"	"166"	"7"	"17"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"245"
"12"	"9"	"263"	"13"	"19"	"54"	"2"	"1"	"2"	"4"	"1"	"1"	"0"	"1"	"1"	"362"
"13"	"10"	"64"	"4"	"379"	"8"	"22"	"2"	"2"	"0"	"0"	"0"	"2"	"1"	"2"	"486"
"14"	"11"	"496"	"4"	"14"	"17"	"3"	"0"	"0"	"3"	"0"	"1"	"0"	"1"	"1"	"540"
"15"	"12"	"33"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"35"
"16"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"17"	"14"	"188"	"1"	"121"	"38"	"6"	"0"	"3"	"1"	"0"	"1"	"0"	"1"	"0"	"360"
"18"	"15"	"135"	"10"	"92"	"38"	"158"	"1"	"2"	"1"	"1"	"1"	"2"	"3"	"2"	"446"
"19"	"16"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"
"20"	"17"	"359"	"9"	"35"	"66"	"11"	"1"	"3"	"16"	"8"	"7"	"0"	"1"	"1"	"517"
"21"	"18"	"310"	"6"	"13"	"167"	"3"	"2"	"0"	"6"	"3"	"2"	"0"	"0"	"0"	"512"
"22"	"19"	"581"	"2"	"16"	"33"	"3"	"1"	"1"	"11"	"1"	"2"	"4"	"2"	"1"	"658"
"23"	"20"	"155"	"3"	"4"	"96"	"2"	"0"	"1"	"2"	"1"	"2"	"2"	"1"	"0"	"269"
"24"	"21"	"350"	"18"	"13"	"11"	"3"	"0"	"3"	"6"	"2"	"2"	"2"	"1"	"0"	"411"
"25"	"22"	"329"	"0"	"11"	"87"	"5"	"1"	"2"	"4"	"0"	"0"	"1"	"2"	"1"	"443"
"26"	"23"	"59"	"9"	"193"	"29"	"8"	"6"	"7"	"10"	"7"	"2"	"7"	"4"	"3"	"344"
"27"	"24"	"127"	"3"	"96"	"7"	"5"	"0"	"1"	"11"	"0"	"2"	"3"	"1"	"3"	"259"
"28"	"25"	"69"	"1"	"315"	"50"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"440"
"29"	"26"	"11"	"14"	"158"	"197"	"17"	"5"	"1"	"2"	"1"	"4"	"1"	"3"	"0"	"414"
"30"	"27"	"193"	"4"	"45"	"49"	"29"	"1"	"2"	"6"	"2"	"0"	"1"	"2"	"2"	"336"
"31"	"28"	"100"	"3"	"6"	"65"	"131"	"3"	"2"	"6"	"1"	"3"	"2"	"4"	"2"	"328"
"32"	"29"	"126"	"7"	"121"	"40"	"29"	"2"	"1"	"6"	"0"	"1"	"0"	"1"	"1"	"335"
"33"	"30"	"109"	"10"	"313"	"94"	"23"	"1"	"3"	"4"	"3"	"3"	"0"	"1"	"2"	"566"
"34"	"31"	"253"	"5"	"73"	"57"	"57"	"1"	"0"	"5"	"0"	"0"	"0"	"1"	"1"	"453"
"35"	"32"	"250"	"11"	"96"	"116"	"18"	"2"	"4"	"17"	"2"	"2"	"3"	"3"	"3"	"527"
"36"	"33"	"414"	"17"	"89"	"37"	"4"	"3"	"10"	"21"	"11"	"4"	"6"	"11"	"6"	"633"
"37"	"34"	"317"	"2"	"103"	"8"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"3"	"436"
