"Candidates.Name"	"Zubair.Alam"	"Tasleem.Uddin"	"Mohammad.Asrarul.Haque"	"Syed.Mahmood.Ashraf"	"Tamajul.Ali"	"Mohammad.Khashiur.Rahman"	"Mohammad.Nissar.Alam"	"Rajit.Podar"	"Abdul.Rajjak.urf.Kal"	"Abhinav.Modi"	"Asgar.Malik"	"Chotay.Lal.Mahto"	"Md..Taslimuddin"	"Total"
"1"	"Booth No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"3"	"1"	"50"	"41"	"438"	"114"	"4"	"25"	"27"	"6"	"12"	"6"	"16"	"16"	"15"	"770"
"4"	"2"	"9"	"26"	"99"	"210"	"4"	"10"	"37"	"1"	"3"	"3"	"0"	"2"	"3"	"407"
"5"	"3"	"8"	"51"	"50"	"76"	"0"	"4"	"18"	"0"	"2"	"1"	"0"	"0"	"0"	"210"
"6"	"4"	"15"	"56"	"181"	"267"	"6"	"13"	"71"	"11"	"7"	"4"	"7"	"5"	"2"	"645"
"7"	"5"	"9"	"69"	"220"	"172"	"5"	"7"	"45"	"11"	"6"	"3"	"3"	"6"	"6"	"562"
"8"	"6"	"21"	"71"	"268"	"151"	"5"	"8"	"54"	"4"	"2"	"4"	"4"	"8"	"11"	"611"
"9"	"7"	"3"	"42"	"77"	"103"	"4"	"4"	"27"	"2"	"4"	"1"	"0"	"2"	"6"	"275"
"10"	"8"	"5"	"30"	"158"	"215"	"3"	"6"	"59"	"4"	"6"	"1"	"2"	"5"	"6"	"500"
"11"	"9"	"15"	"27"	"70"	"471"	"5"	"8"	"58"	"6"	"6"	"4"	"2"	"2"	"3"	"677"
"12"	"10"	"4"	"9"	"53"	"252"	"5"	"5"	"55"	"5"	"4"	"6"	"1"	"3"	"9"	"411"
"13"	"11"	"6"	"21"	"101"	"241"	"2"	"5"	"42"	"3"	"1"	"0"	"1"	"1"	"6"	"430"
"14"	"12"	"32"	"41"	"423"	"159"	"13"	"13"	"37"	"7"	"7"	"6"	"1"	"5"	"12"	"756"
"15"	"13"	"10"	"17"	"356"	"18"	"3"	"13"	"9"	"1"	"5"	"4"	"1"	"3"	"10"	"450"
"16"	"14"	"12"	"15"	"384"	"129"	"5"	"6"	"30"	"5"	"7"	"8"	"2"	"5"	"17"	"625"
"17"	"15"	"13"	"14"	"470"	"36"	"5"	"11"	"5"	"3"	"6"	"6"	"3"	"4"	"16"	"592"
"18"	"16"	"29"	"27"	"332"	"38"	"6"	"10"	"11"	"6"	"1"	"3"	"1"	"1"	"11"	"476"
"19"	"17"	"3"	"4"	"23"	"149"	"4"	"7"	"74"	"5"	"3"	"1"	"2"	"1"	"0"	"276"
"20"	"18"	"9"	"106"	"133"	"205"	"3"	"7"	"64"	"2"	"2"	"1"	"4"	"5"	"5"	"546"
"21"	"19"	"40"	"29"	"179"	"255"	"4"	"7"	"29"	"5"	"2"	"0"	"0"	"1"	"0"	"551"
"22"	"20"	"16"	"78"	"226"	"242"	"6"	"13"	"98"	"11"	"5"	"6"	"4"	"9"	"10"	"724"
"23"	"21"	"27"	"12"	"416"	"18"	"3"	"13"	"3"	"2"	"3"	"1"	"3"	"3"	"7"	"511"
"24"	"22"	"5"	"25"	"373"	"15"	"0"	"12"	"7"	"2"	"4"	"0"	"1"	"6"	"11"	"461"
"25"	"23"	"25"	"28"	"311"	"79"	"4"	"15"	"31"	"3"	"8"	"3"	"1"	"6"	"17"	"531"
"26"	"24"	"12"	"35"	"272"	"190"	"5"	"11"	"20"	"7"	"1"	"2"	"0"	"3"	"2"	"560"
"27"	"25"	"7"	"101"	"62"	"440"	"4"	"4"	"45"	"6"	"3"	"6"	"4"	"4"	"1"	"687"
"28"	"26"	"4"	"23"	"304"	"17"	"3"	"5"	"1"	"3"	"1"	"2"	"3"	"9"	"12"	"387"
"29"	"27"	"12"	"50"	"386"	"145"	"8"	"16"	"46"	"17"	"6"	"7"	"7"	"5"	"13"	"718"
