"A_CODE"	"BOOTH_NO"	"Kalawati.Devi"	"Ramji.Manjhi"	"Sanjiv.Prasad.Toni"	"Hari.Manjhi"	"Dilip.Paswan"	"Niranjan.Kumar"	"Rajesh.Kumar"	"Ramdev.Arya.Paan"	"Amarnath.prasad"	"Krishna.Choudhary"	"Kail.Das"	"Deepak.Paswan"	"Ramkisho.re.Paswan"	"Ramu.Paswan"	"Shiv.Shankar.Kumar"	"Shyamlal.Manjhi"	"TOTAL.Votes"
"1"	230	1	0	73	22	96	2	9	3	0	2	1	2	1	2	4	3	5	225
"2"	230	2	9	30	33	141	2	64	9	1	1	1	2	2	2	0	4	4	305
"3"	230	3	7	21	88	67	4	65	5	5	2	6	4	0	4	6	7	4	295
"4"	230	4	13	117	69	224	3	8	3	1	5	1	4	2	0	1	1	2	454
"5"	230	5	0	90	77	115	0	6	1	0	0	1	0	0	0	1	0	0	291
"6"	230	6	10	82	66	188	4	39	0	1	0	2	2	2	1	4	6	4	411
"7"	230	7	53	89	87	249	0	8	2	3	2	2	0	0	2	3	2	1	503
"8"	230	8	21	53	74	184	7	3	4	4	0	3	3	5	1	2	6	4	374
"9"	230	9	7	50	28	126	0	1	1	2	0	3	1	0	3	1	0	1	224
"10"	230	10	63	96	122	261	14	10	8	4	7	5	2	3	2	4	5	10	616
"11"	230	11	2	67	24	113	2	11	6	1	0	2	1	0	0	1	0	1	231
"12"	230	12	10	27	23	122	1	12	1	1	0	1	1	1	1	2	1	1	205
"13"	230	13	3	13	21	245	3	6	3	0	3	0	4	2	3	1	3	5	315
"14"	230	14	15	5	29	115	4	3	0	0	0	0	0	0	0	1	0	0	172
"15"	230	15	8	8	79	372	7	2	3	0	3	1	2	0	2	1	2	0	490
"16"	230	16	3	24	52	91	1	1	1	0	0	0	0	1	0	0	0	0	174
"17"	230	17	1	58	55	191	4	1	1	2	0	1	0	2	2	2	4	2	326
"18"	230	18	3	24	26	150	0	0	0	0	0	0	0	1	1	0	0	0	205
"19"	230	19	8	29	38	211	1	3	1	3	0	0	1	1	0	0	1	1	298
"20"	230	20	16	30	43	183	2	2	2	3	1	1	0	1	4	1	1	2	292
"21"	230	21	14	10	45	202	2	5	10	2	1	0	1	3	1	0	0	1	297
"22"	230	22	0	3	19	138	1	0	2	0	0	0	0	0	0	0	0	0	163
"23"	230	23	4	13	24	241	2	1	30	0	0	2	1	2	1	1	1	0	323
"24"	230	24	1	10	23	186	0	1	1	0	0	1	0	0	1	0	0	0	224
"25"	230	25	4	56	135	225	2	6	0	6	0	1	2	1	6	1	3	3	451
"26"	230	26	11	39	36	222	2	3	1	2	1	1	3	1	5	3	1	1	332
"27"	230	27	1	50	22	168	3	7	1	0	0	1	0	0	0	0	0	0	253
"28"	230	28	3	57	19	109	0	0	0	0	0	0	4	1	2	0	2	0	197
"29"	230	29	8	19	47	193	4	1	0	0	0	2	1	0	0	1	0	3	279
"30"	230	30	2	29	43	163	1	4	2	0	1	1	1	2	0	0	2	0	251
"31"	230	31	6	28	36	132	3	3	2	3	1	1	3	1	6	3	3	8	239
"32"	230	32	36	29	37	111	3	0	3	0	6	4	2	1	1	2	2	3	240
"33"	230	33	10	20	31	410	6	6	3	2	2	2	2	1	4	4	3	1	507
"34"	230	34	6	153	119	91	38	3	0	2	2	3	3	5	1	0	2	5	433
"35"	230	35	13	22	49	205	3	1	0	0	0	0	2	1	1	0	3	2	302
"36"	230	36	11	66	56	78	2	0	2	0	1	2	1	0	1	1	1	0	222
"37"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	230	37	8	74	61	19	30	3	0	1	0	2	8	2	0	2	2	4	216
"39"	230	38	8	41	89	144	0	1	0	0	0	0	1	1	1	0	0	0	286
"40"	230	39	18	109	61	13	1	3	1	1	0	2	1	0	1	1	1	2	215
"41"	230	40	7	92	97	22	3	1	0	2	3	3	1	2	0	0	0	0	233
"42"	230	41	1	83	192	46	0	3	1	0	2	1	3	2	2	2	2	0	340
"43"	230	42	5	75	106	337	4	0	3	1	1	0	1	1	0	0	0	0	534
"44"	230	43	0	23	26	224	1	2	0	0	0	2	0	0	1	0	0	1	280
"45"	230	44	3	44	42	383	2	1	0	0	0	0	0	0	0	0	0	5	480
"46"	230	45	1	42	45	203	2	3	0	2	2	1	2	3	1	1	0	0	308
"47"	230	46	4	9	7	180	1	1	0	0	2	0	0	1	3	0	1	0	209
"48"	230	47	3	15	24	263	1	1	4	0	0	0	0	0	0	0	0	2	313
"49"	230	48	2	26	23	187	1	4	3	0	3	3	1	1	2	0	1	2	259
"50"	230	49	9	16	37	302	3	0	1	2	1	0	1	1	0	1	1	2	377
"51"	230	50	65	34	121	183	1	0	0	2	3	3	1	2	4	1	2	1	423
"52"	230	51	38	93	158	171	6	7	1	1	2	4	1	2	2	0	0	0	486
"53"	230	52	6	8	37	185	0	0	1	1	0	0	0	0	2	0	0	1	241
"54"	230	53	2	10	16	206	1	2	0	0	0	0	0	1	2	0	0	0	240
"55"	230	54	1	7	29	332	1	1	1	0	0	0	1	0	1	0	0	1	375
"56"	230	55	2	14	30	241	0	0	0	0	0	0	0	1	1	1	1	2	293
"57"	230	56	38	32	32	426	4	0	3	0	0	1	1	0	0	0	0	1	538
"58"	230	57	26	23	33	181	2	5	0	1	1	1	1	1	0	3	5	4	287
"59"	230	58	6	21	30	177	2	0	2	0	1	0	1	0	0	1	0	1	242
"60"	230	59	3	34	33	243	2	0	0	0	0	1	1	1	0	2	3	0	323
"61"	230	60	2	34	55	218	4	0	0	0	2	1	1	1	0	2	2	0	322
"62"	230	61	3	68	19	235	3	1	1	1	1	0	0	1	1	0	0	4	338
"63"	230	62	1	4	27	155	0	0	0	0	0	0	0	0	0	1	0	0	188
"64"	230	63	13	97	68	263	4	9	3	1	2	3	2	2	1	1	1	2	472
"65"	230	64	7	39	72	411	6	3	2	0	1	0	0	0	2	0	2	4	549
"66"	230	65	3	9	66	497	5	1	0	0	0	0	0	0	1	0	1	2	585
"67"	230	66	0	34	91	176	2	3	2	0	0	1	1	1	0	0	3	0	314
"68"	230	67	0	13	45	441	2	0	0	1	1	0	1	0	0	1	0	0	505
"69"	230	68	2	26	46	422	6	1	0	0	0	0	0	0	0	0	2	1	506
"70"	230	69	4	45	74	315	7	0	1	1	0	1	1	1	0	0	2	4	456
"71"	230	70	1	26	84	347	3	2	0	0	1	0	1	1	0	4	1	1	472
"72"	230	71	5	89	86	230	2	1	1	0	0	0	2	0	0	0	1	1	418
"73"	230	72	3	105	77	120	2	2	2	0	0	0	1	0	1	1	0	3	317
"74"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"75"	230	73	0	11	37	262	0	0	0	0	0	0	0	0	0	0	1	0	311
"76"	230	74	0	118	61	164	0	6	1	1	0	1	4	1	2	1	0	3	363
"77"	230	75	2	6	28	210	1	2	0	1	0	1	1	0	0	0	0	1	253
"78"	230	76	0	18	15	127	1	0	3	0	0	0	1	0	0	0	0	0	165
"79"	230	77	1	33	51	367	4	3	2	0	1	1	1	0	0	0	2	4	470
"80"	230	78	2	124	90	182	0	1	0	0	1	1	3	0	0	0	1	0	405
"81"	230	79	2	15	60	574	0	2	0	0	1	1	1	0	1	1	1	0	659
"82"	230	80	2	72	61	219	1	1	1	0	1	4	0	0	1	0	4	0	367
"83"	230	81	0	38	43	351	2	1	0	1	0	0	0	0	1	0	0	1	438
"84"	230	82	1	50	44	95	0	0	0	0	0	0	0	0	0	0	0	0	190
"85"	230	83	3	14	20	394	5	1	0	1	0	2	0	2	1	2	0	1	446
"86"	230	84	74	3	18	318	1	1	0	0	0	1	0	0	0	0	0	0	416
"87"	230	85	4	9	27	455	2	0	0	1	0	0	0	0	0	0	0	0	498
"88"	230	86	10	48	80	528	4	9	1	2	3	2	2	1	2	2	1	5	700
"89"	230	87	4	9	27	359	1	1	0	0	0	0	1	0	1	0	0	0	403
"90"	230	88	1	21	43	206	0	2	1	1	0	0	0	1	0	0	1	0	277
"91"	230	89	3	71	92	411	5	4	1	2	0	4	2	2	4	1	1	4	607
"92"	230	90	1	32	117	242	4	0	0	1	1	2	1	1	0	0	2	1	405
"93"	230	91	5	7	37	224	2	0	0	0	0	0	0	0	0	0	2	1	278
"94"	230	92	1	61	53	12	0	1	0	1	0	0	0	0	1	0	0	2	132
"95"	230	93	9	108	73	4	1	0	0	0	0	0	0	0	0	0	0	0	195
"96"	230	94	1	85	124	7	2	0	0	0	1	1	0	0	1	1	0	3	226
"97"	230	95	1	54	59	172	0	1	0	0	0	0	0	0	1	0	1	0	289
