"Candidates.Name"	"Zubair.Alam"	"Tasleem.Uddin"	"Mohammad.Asrarul.Haque"	"Syed.Mahmood.Ashraf"	"Tamajul.Ali"	"Mohammad.Khashiur.Rahman"	"Mohammad.Nissar.Alam"	"Rajit.Podar"	"Abdul.Rajjak.urf.Kal"	"Abhinav.Modi"	"Asgar.Malik"	"Chotay.Lal.Mahto"	"Md..Taslimuddin"	"Total"
"1"	"Booth No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"3"	"1"	"16"	"176"	"128"	"77"	"1"	"6"	"12"	"2"	"3"	"5"	"5"	"10"	"7"	"448"
"4"	"2"	"13"	"366"	"32"	"92"	"1"	"5"	"22"	"6"	"2"	"2"	"2"	"10"	"3"	"556"
"5"	"3"	"17"	"172"	"209"	"81"	"1"	"14"	"9"	"3"	"8"	"7"	"11"	"10"	"10"	"552"
"6"	"4"	"4"	"166"	"9"	"2"	"0"	"5"	"0"	"1"	"1"	"0"	"3"	"7"	"2"	"200"
"7"	"5"	"19"	"283"	"102"	"38"	"1"	"2"	"2"	"4"	"1"	"4"	"4"	"9"	"6"	"475"
"8"	"6"	"24"	"180"	"77"	"108"	"3"	"11"	"39"	"1"	"3"	"2"	"1"	"3"	"7"	"459"
"9"	"7"	"15"	"252"	"83"	"34"	"8"	"3"	"11"	"2"	"0"	"4"	"6"	"15"	"8"	"441"
"10"	"8"	"7"	"111"	"80"	"44"	"2"	"6"	"10"	"0"	"3"	"5"	"4"	"7"	"7"	"286"
"11"	"9"	"7"	"148"	"56"	"48"	"2"	"2"	"3"	"0"	"0"	"1"	"1"	"4"	"2"	"274"
"12"	"10"	"1"	"63"	"30"	"43"	"2"	"1"	"5"	"1"	"2"	"1"	"0"	"1"	"1"	"151"
"13"	"11"	"8"	"101"	"15"	"222"	"4"	"6"	"63"	"5"	"3"	"4"	"4"	"6"	"4"	"445"
"14"	"12"	"15"	"375"	"25"	"15"	"0"	"5"	"1"	"3"	"1"	"0"	"6"	"7"	"4"	"457"
"15"	"13"	"9"	"112"	"90"	"330"	"4"	"7"	"45"	"5"	"5"	"10"	"4"	"8"	"2"	"631"
"16"	"14"	"11"	"273"	"69"	"127"	"6"	"6"	"46"	"1"	"3"	"3"	"9"	"14"	"7"	"575"
"17"	"15"	"11"	"97"	"9"	"175"	"6"	"13"	"33"	"3"	"3"	"4"	"9"	"11"	"6"	"380"
"18"	"16"	"18"	"20"	"66"	"253"	"6"	"3"	"60"	"2"	"2"	"3"	"2"	"7"	"2"	"444"
"19"	"17"	"38"	"254"	"66"	"187"	"4"	"9"	"20"	"6"	"3"	"1"	"2"	"2"	"5"	"597"
"20"	"18"	"12"	"133"	"32"	"408"	"4"	"7"	"54"	"7"	"3"	"5"	"4"	"9"	"6"	"684"
"21"	"19"	"31"	"199"	"117"	"69"	"2"	"9"	"16"	"7"	"5"	"4"	"2"	"7"	"3"	"471"
"22"	"20"	"11"	"297"	"47"	"11"	"2"	"4"	"4"	"3"	"0"	"4"	"3"	"13"	"4"	"403"
"23"	"21"	"13"	"129"	"158"	"102"	"3"	"5"	"26"	"3"	"4"	"1"	"2"	"5"	"3"	"454"
"24"	"22"	"8"	"217"	"62"	"117"	"3"	"3"	"37"	"3"	"2"	"2"	"6"	"5"	"9"	"474"
"25"	"23"	"13"	"84"	"31"	"10"	"1"	"1"	"4"	"2"	"0"	"0"	"2"	"1"	"0"	"149"
"26"	"24"	"18"	"296"	"152"	"90"	"4"	"13"	"26"	"4"	"2"	"4"	"8"	"13"	"9"	"639"
"27"	"25"	"5"	"49"	"124"	"262"	"4"	"9"	"68"	"6"	"3"	"5"	"3"	"7"	"8"	"553"
"28"	"26"	"11"	"242"	"69"	"123"	"3"	"5"	"15"	"1"	"2"	"1"	"4"	"13"	"7"	"496"
"29"	"27"	"22"	"308"	"140"	"50"	"6"	"4"	"7"	"3"	"6"	"4"	"3"	"5"	"4"	"562"
"30"	"28"	"10"	"103"	"365"	"116"	"4"	"9"	"39"	"5"	"3"	"8"	"3"	"9"	"13"	"687"
"31"	"29"	"5"	"6"	"8"	"71"	"0"	"2"	"28"	"1"	"1"	"5"	"1"	"0"	"2"	"130"
"32"	"30"	"31"	"266"	"31"	"165"	"8"	"5"	"51"	"2"	"0"	"0"	"3"	"8"	"2"	"572"
"33"	"31"	"1"	"59"	"12"	"236"	"4"	"3"	"70"	"6"	"2"	"2"	"7"	"8"	"4"	"414"
"34"	"32"	"7"	"222"	"66"	"20"	"3"	"1"	"10"	"1"	"0"	"4"	"6"	"11"	"5"	"356"
"35"	"Candidates Name"	"Zubair Alam"	"Tasleem Uddin"	"Mohammad Asrarul Haque"	"Syed Mahmood
Ashraf"	"Tamajul Ali"	"Mohammad Khashiur
Rahman"	"Mohammad Nissar Alam"	"Rajit Podar"	"Abdul Rajjak urf Kal"	"Abhinav Modi"	"Asgar Malik"	"Chotay Lal Mahto"	"Md.
Taslimuddin"	"Total"
"36"	"Booth No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"38"	"33"	"9"	"100"	"108"	"128"	"2"	"5"	"27"	"2"	"3"	"3"	"1"	"4"	"5"	"397"
"39"	"34"	"16"	"286"	"121"	"30"	"0"	"4"	"16"	"1"	"3"	"6"	"6"	"6"	"6"	"501"
"40"	"35"	"13"	"101"	"8"	"127"	"0"	"5"	"53"	"3"	"2"	"3"	"2"	"4"	"5"	"326"
"41"	"36"	"2"	"114"	"97"	"289"	"3"	"3"	"75"	"7"	"1"	"5"	"4"	"1"	"5"	"606"
"42"	"37"	"19"	"233"	"86"	"192"	"4"	"5"	"30"	"6"	"0"	"2"	"3"	"5"	"4"	"589"
"43"	"38"	"14"	"156"	"145"	"49"	"4"	"4"	"8"	"1"	"1"	"1"	"1"	"1"	"1"	"386"
"44"	"39"	"11"	"330"	"31"	"24"	"1"	"8"	"1"	"0"	"0"	"0"	"0"	"7"	"2"	"415"
"45"	"40"	"12"	"518"	"84"	"104"	"1"	"5"	"13"	"4"	"1"	"4"	"7"	"13"	"3"	"769"
"46"	"41"	"12"	"248"	"14"	"25"	"3"	"1"	"6"	"3"	"0"	"3"	"7"	"11"	"0"	"333"
