"A_CODE"	"BOOTH_NO"	"Kalawati.Devi"	"Ramji.Manjhi"	"Sanjiv.Prasad.Toni"	"Hari.Manjhi"	"Dilip.Paswan"	"Niranjan.Kumar"	"Rajesh.Kumar"	"Ramdev.Arya.Paan"	"Amarnath.prasad"	"Krishna.Choudhary"	"Kail.Das"	"Deepak.Paswan"	"Ramkisho.re.Paswan"	"Ramu.Paswan"	"Shiv.Shankar.Kumar"	"Shyamlal.Manjhi"	"TOTAL.Votes"
"1"	228	1	18	36	27	172	7	5	2	0	1	5	2	6	8	1	8	8	306
"2"	228	2	4	178	11	281	6	3	2	4	2	3	2	4	4	2	2	2	510
"3"	228	3	9	172	24	52	4	5	2	1	1	2	3	4	3	4	6	9	301
"4"	228	4	2	130	2	34	1	0	1	1	0	1	3	0	0	1	0	0	176
"5"	228	5	6	100	7	132	5	2	3	3	7	5	3	4	6	7	2	9	301
"6"	228	6	24	105	8	139	7	3	1	1	3	0	2	1	1	1	0	0	296
"7"	228	7	4	132	46	64	6	1	1	1	2	2	2	1	3	0	2	13	280
"8"	228	8	4	73	78	309	8	2	0	2	1	0	1	1	2	2	2	7	492
"9"	228	9	35	163	28	119	9	88	2	2	1	2	2	1	1	6	5	5	469
"10"	228	10	3	13	20	419	7	14	23	1	2	1	0	3	1	4	4	6	521
"11"	228	11	1	463	52	83	1	1	0	1	0	0	0	0	1	1	0	0	604
"12"	228	12	5	68	6	126	6	6	1	5	4	1	2	5	2	3	5	2	247
"13"	228	13	16	99	86	49	3	13	5	3	3	1	3	2	7	2	3	5	300
"14"	228	14	10	81	39	197	4	5	0	1	0	1	3	4	1	2	0	3	351
"15"	228	15	1	43	15	338	7	0	0	0	0	0	1	2	0	0	3	0	410
"16"	228	16	0	250	0	3	0	0	0	0	0	0	0	0	0	0	0	0	253
"17"	228	17	4	282	66	105	4	14	4	3	3	3	3	0	2	0	8	9	510
"18"	228	18	21	42	15	137	7	31	8	2	3	0	3	1	2	1	4	85	362
"19"	228	19	6	58	73	304	7	7	1	5	5	3	3	4	5	9	3	24	517
"20"	228	20	11	29	25	152	12	1	0	0	1	0	0	1	1	1	0	0	234
"21"	228	21	76	59	20	50	6	5	0	7	2	1	1	3	2	4	8	4	248
"22"	228	22	1	133	1	11	0	0	0	0	0	0	0	0	0	0	0	0	146
"23"	228	23	5	19	10	139	2	0	1	0	0	0	0	3	3	1	0	5	188
"24"	228	24	5	42	7	14	0	6	1	0	1	1	3	1	0	0	5	214	300
"25"	228	25	12	163	13	167	4	3	2	1	2	0	6	2	2	0	1	26	404
"26"	228	26	17	173	26	277	7	11	4	3	4	3	8	11	14	12	9	37	616
"27"	228	27	4	74	24	112	7	52	3	1	2	1	3	5	1	4	7	9	309
"28"	228	28	0	203	9	83	4	1	0	1	2	1	1	0	1	1	2	2	311
"29"	228	29	7	219	46	105	7	0	1	1	0	0	4	0	1	6	2	19	418
"30"	228	30	13	60	10	140	4	0	1	2	1	0	0	1	0	0	0	4	236
"31"	228	31	20	84	41	321	3	2	1	4	0	0	0	0	3	1	0	1	481
"32"	228	32	6	144	126	89	0	9	0	1	2	3	0	1	2	1	2	1	387
"33"	228	33	1	284	5	27	1	0	0	0	2	0	0	4	2	2	4	1	333
"34"	228	34	8	149	5	101	3	1	0	0	1	1	0	0	3	2	0	0	274
"35"	228	35	0	104	38	17	0	0	1	0	0	3	0	1	1	4	0	5	174
"36"	228	36	4	101	3	98	4	3	1	0	0	1	0	3	2	3	1	6	230
"37"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	228	37	20	169	41	195	4	5	5	1	0	0	0	0	0	1	1	0	442
"39"	228	38	10	132	29	41	2	0	0	1	0	0	3	2	3	0	2	9	234
"40"	228	39	1	129	6	28	3	1	1	0	1	0	3	0	2	0	1	4	180
"41"	228	40	4	164	9	36	0	0	0	0	0	1	0	0	0	2	0	0	216
"42"	228	41	151	279	27	84	1	1	0	1	0	3	1	0	0	0	0	0	548
"43"	228	42	3	162	1	60	2	1	0	1	3	0	1	0	2	3	0	1	240
"44"	228	43	5	384	0	4	0	0	0	0	0	0	0	1	0	0	0	0	394
"45"	228	44	9	249	8	5	0	0	0	0	0	0	0	0	0	0	0	0	271
"46"	228	45	4	196	29	27	4	1	1	0	1	0	1	1	3	2	1	5	276
"47"	228	46	0	725	8	12	0	0	0	0	0	0	0	0	0	0	0	0	745
"48"	228	47	6	135	35	150	4	3	1	3	3	1	3	1	1	2	3	8	359
"49"	228	48	8	37	11	146	17	4	2	7	2	2	3	4	5	4	3	5	260
"50"	228	49	2	31	30	138	0	0	0	1	0	0	0	1	0	1	0	0	204
"51"	228	50	10	80	47	382	11	4	0	1	6	1	2	1	4	4	3	14	570
"52"	228	51	4	308	50	61	3	1	1	0	0	2	0	0	1	0	1	2	434
"53"	228	52	23	233	31	165	4	3	3	2	4	1	2	4	7	6	5	5	498
"54"	228	53	9	320	11	93	3	1	0	2	3	4	2	2	2	1	1	7	461
"55"	228	54	3	382	19	25	0	0	0	0	1	0	0	0	0	1	0	0	431
"56"	228	55	6	318	32	54	1	1	1	1	1	0	1	0	1	1	2	1	421
"57"	228	56	2	213	78	38	2	1	0	1	2	1	3	1	1	3	4	0	350
"58"	228	57	15	152	2	16	3	0	1	0	0	0	2	0	0	1	1	2	195
"59"	228	58	1	387	5	21	0	1	0	0	0	0	0	0	0	0	0	0	415
"60"	228	59	6	112	29	148	6	5	1	2	2	3	2	5	6	4	7	13	351
"61"	228	60	2	268	33	154	2	0	0	1	0	1	2	1	1	2	2	1	470
"62"	228	61	87	102	72	120	6	0	2	1	2	1	0	1	4	0	3	4	405
"63"	228	62	2	305	1	8	1	0	0	0	0	0	0	0	0	0	0	0	317
"64"	228	63	2	28	81	73	2	0	0	0	0	1	1	0	1	1	0	0	190
"65"	228	64	6	79	117	86	2	3	2	2	1	0	0	3	3	3	4	1	312
"66"	228	65	6	347	7	28	1	0	0	1	0	1	1	1	2	1	2	1	399
"67"	228	66	24	167	31	127	6	1	6	4	4	4	6	3	2	11	10	14	420
"68"	228	67	2	655	20	29	1	0	10	0	0	0	0	0	1	3	2	2	725
"69"	228	68	3	15	20	446	1	1	79	1	0	1	2	0	0	1	0	0	570
"70"	228	69	15	7	4	180	9	4	3	2	3	4	1	2	4	1	0	6	245
"71"	228	70	0	3	1	87	1	3	565	0	0	2	0	1	1	1	0	2	667
"72"	228	71	5	329	62	29	0	0	1	1	2	1	1	1	2	1	1	4	440
