"PC.No."	"AC.No."	"BOOTH.No."	"BOOTH.EXT"	"ARCHN.A.CHAND.RA"	"NIKHIL.KUMAR"	"SHAKIL.AHMAD.KHAN"	"SUSHIL.KUMAR.SINGH"	"ANIL.KUMAR.SINGH"	"AMERIK.A.MAHTO"	"RAM.KUMAR.MEHTA"	"VIJAY.PASWA.N"	"ASLAM.ANSARI"	"INDRA.DEO.RAM"	"UDAY.PASWAN"	"PUNA.DAS"	"RANJEE.T.KUMAR"	"RAJEND.RA.YADAV"	"RAMSW.ARUP.PRASAD.YADAV"	"SANTOS.H.KUMAR"	"TOTAL"
"1"	37	222	1	""	92	76	123	81	12	3	4	0	1	3	6	10	3	11	8	15	448
"2"	37	222	2	""	66	28	75	40	0	3	4	1	2	1	1	1	5	4	2	2	235
"3"	37	222	3	""	9	140	27	45	1	2	2	1	0	0	1	2	4	3	4	4	245
"4"	37	222	4	""	68	80	103	98	6	3	6	4	1	0	2	7	3	5	3	13	402
"5"	37	222	5	""	17	54	196	225	3	5	3	3	3	3	8	11	12	9	11	18	581
"6"	37	222	6	""	14	168	27	135	3	1	1	1	0	0	0	1	2	1	4	0	358
"7"	37	222	7	""	68	48	31	39	2	4	1	2	0	3	0	3	4	6	0	3	214
"8"	37	222	8	""	20	45	3	223	0	1	0	1	0	0	1	0	3	0	2	3	302
"9"	37	222	9	""	15	160	20	134	4	0	0	1	0	0	0	2	2	0	0	1	339
"10"	37	222	10	""	2	28	17	57	0	0	0	0	0	1	0	2	0	0	2	1	110
"11"	37	222	11	""	16	56	19	117	3	5	2	1	0	1	2	6	9	4	1	9	251
"12"	37	222	12	""	85	70	142	147	2	2	1	3	0	0	2	2	2	2	1	5	466
"13"	37	222	13	""	11	6	13	94	1	0	1	1	0	0	1	4	1	0	0	0	133
"14"	37	222	14	""	32	71	105	94	5	5	3	6	4	1	2	1	4	1	1	6	341
"15"	37	222	15	""	36	133	58	99	0	1	1	0	0	0	1	1	2	1	1	2	336
"16"	37	222	16	""	71	66	119	47	2	2	1	2	1	0	1	2	2	1	3	0	320
"17"	37	222	17	""	39	86	27	144	5	8	4	1	1	1	4	5	2	2	6	3	338
