"er.nku.dsUnz.l.a....k"	"i.kj.l..ukFk.i.kBd"	"c.f..k.k.i.Vsy"	"fot.....kadj..nwcs"	"gsuk...kgkc"	"vej..ukFk...kno"	"vLouh.dq0.oekZ"	"ek.kqj.h.i.k.Ms."	"yky..ckcq.fr.okj.h"	"mes..k.fr.okj.h"	"vkse.i.zdk..k...kno"	"fuf.k.dhfr.Z"	"i.zHkw.ukFk.ekyh"	"MkW0.equs..oj.i.zl.kn"	"j.kt.sUnz.dqekj"	"X..kEHkw.ukFk.i.zl.kn"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy..l.a....k"	"X..ksx"	"fufonr.er.ksa.dh.dqy..l.a....k"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"2"	1	64	45	10	61	14	3	2	6	5	357	14	3	3	27	15	629	0	629	NA
"3"	2	34	48	10	28	3	2	2	6	6	436	2	0	3	26	9	615	0	615	NA
"4"	3	14	6	14	93	4	6	7	6	11	359	4	8	5	35	8	580	0	580	NA
"5"	4	107	3	1	22	0	4	0	0	8	187	2	3	2	8	15	362	0	362	NA
"6"	5	9	15	19	46	5	7	4	3	3	218	3	3	3	24	16	378	0	378	NA
"7"	6	5	15	7	53	10	9	6	2	12	281	8	5	3	40	35	491	0	491	NA
"8"	7	31	17	29	87	157	14	4	22	16	186	11	9	9	27	16	635	0	635	NA
"9"	8	128	14	12	87	85	15	10	16	21	383	14	6	5	18	17	831	0	831	NA
"10"	9	6	3	7	454	9	3	2	0	1	29	2	9	4	2	3	534	0	534	NA
"11"	10	8	4	2	27	88	6	2	9	7	110	6	6	4	7	16	302	0	302	NA
"12"	NA	406	170	111	958	375	69	39	70	90	2546	66	52	41	214	150	5357	0	5357	0
"13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"18"	11	4	0	0	10	1	6	1	1	0	417	2	0	0	4	4	450	NA	450	NA
"19"	12	7	3	2	208	102	7	4	3	7	136	7	1	4	11	15	517	NA	517	NA
"20"	13	0	0	0	385	2	0	1	0	0	5	0	1	1	0	1	396	NA	396	NA
"21"	14	4	0	3	397	3	1	0	2	3	37	0	1	2	3	3	459	NA	459	NA
"22"	15	21	162	13	222	11	8	3	6	13	231	6	4	5	40	12	757	NA	757	NA
"23"	16	11	42	6	184	5	5	3	2	4	334	4	4	4	27	15	650	NA	650	NA
"24"	17	8	7	2	168	5	4	2	2	2	167	5	4	1	17	13	407	NA	407	NA
"25"	18	0	0	0	35	3	1	1	0	0	155	4	1	1	5	3	209	NA	209	NA
"26"	19	10	19	3	36	91	3	3	8	3	178	5	5	1	6	5	376	NA	376	NA
"27"	20	10	1	4	56	4	3	5	4	4	239	1	1	0	20	4	356	NA	356	NA
"28"	NA	75	234	33	1701	227	38	23	28	36	1899	34	22	19	133	75	4577	0	4577	0
"29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"32"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"34"	NA	3	42	5	97	8	4	1	1	3	148	0	1	2	16	7	338	NA	338	NA
"35"	21	0	1	3	60	12	1	1	2	2	142	1	6	4	10	6	251	NA	251	NA
"36"	22	6	3	6	94	63	8	1	6	4	159	12	7	4	11	17	401	NA	401	NA
"37"	23	46	4	4	111	27	6	5	7	10	300	4	3	1	30	19	577	NA	577	NA
"38"	24	28	4	1	58	15	2	4	3	3	699	4	1	2	16	7	847	NA	847	NA
"39"	25	13	7	5	393	14	2	6	4	3	225	4	19	5	12	9	721	NA	721	NA
"40"	26	10	3	2	83	15	4	3	5	15	512	2	9	8	29	19	719	NA	719	NA
"41"	27	3	4	2	86	5	2	1	1	6	315	3	2	3	6	4	443	NA	443	NA
"42"	28	25	6	4	129	3	1	3	3	6	267	2	2	3	12	5	471	NA	471	NA
"43"	29	0	7	1	26	1	1	0	0	1	265	2	1	1	4	0	310	NA	310	NA
"44"	NA	134	81	33	1137	163	31	25	32	53	3032	34	51	33	146	93	5078	0	5078	0
"45"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"46"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"47"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"48"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"50"	30	9	5	17	184	107	8	8	10	12	223	18	5	2	15	11	634	0	634	NA
"51"	31	4	10	3	356	15	3	2	0	4	290	6	9	2	11	10	725	0	725	NA
"52"	32	23	3	4	165	15	7	6	6	10	378	7	5	5	40	21	695	0	695	NA
"53"	33	2	1	5	333	8	1	6	0	1	105	0	2	2	3	1	470	0	470	NA
"54"	34	3	5	4	253	21	2	1	4	3	84	4	4	4	17	12	421	0	421	NA
"55"	35	21	2	5	418	5	3	3	2	3	25	0	3	2	3	12	507	0	507	NA
"56"	36	23	33	2	51	26	5	3	8	6	178	2	3	5	30	18	393	0	393	NA
"57"	37	3	11	11	398	9	3	4	1	2	64	2	10	1	7	2	528	0	528	NA
"58"	38	3	9	14	134	13	10	4	1	8	257	8	7	7	12	21	508	0	508	NA
"59"	39	34	18	8	81	5	7	2	2	8	302	1	3	2	30	17	520	0	520	NA
"60"	NA	125	97	73	2373	224	49	39	34	57	1906	48	51	32	168	125	5401	0	5401	0
"61"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"62"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"63"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"64"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"65"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"66"	40	5	16	7	53	12	2	4	4	3	117	8	5	7	15	23	281	NA	281	NA
"67"	41	15	65	6	34	5	1	3	3	2	121	2	3	3	21	18	302	NA	302	NA
"68"	42	45	27	8	136	12	7	4	4	14	276	4	5	3	15	17	577	NA	577	NA
"69"	43	16	52	6	75	60	6	2	9	6	70	4	4	2	3	7	322	NA	322	NA
"70"	44	21	96	18	107	105	8	9	14	25	188	11	8	6	32	27	675	NA	675	NA
"71"	45	3	128	9	211	13	7	7	9	6	104	4	11	2	12	10	536	NA	536	NA
"72"	46	5	33	4	73	114	5	6	10	9	93	14	4	4	22	15	411	NA	411	NA
"73"	47	18	31	44	54	5	1	0	2	4	61	5	2	2	9	3	241	NA	241	NA
"74"	48	27	24	3	158	44	7	2	9	9	208	4	3	3	18	5	524	NA	524	NA
"75"	49	4	113	21	64	51	3	1	13	17	131	9	7	8	31	23	496	NA	496	NA
"76"	NA	159	585	126	965	421	47	38	77	95	1369	65	52	40	178	148	4365	0	4365	0
"77"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"78"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
