"Candidates..Name"	"Zubair.Alam"	"Tasleem.Uddin"	"Mohammad.Asrarul.Haque"	"Syed.Mahmood.Ashraf"	"Tamajul.Ali"	"Mohammad.Khashiur.Rahman"	"Mohammad.Nissar.Alam"	"Rajit.Podar"	"Abdul.Rajjak.urf.Kal"	"Abhinav.Modi"	"Asgar.Malik"	"Chotay.Lal.Mahto"	"Md.Taslimuddin"	"Total"
"1"	"Booth No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"3"	"1"	"7"	"181"	"148"	"122"	"5"	"11"	"105"	"14"	"5"	"5"	"6"	"9"	"4"	"622"
"4"	"2"	"13"	"17"	"128"	"192"	"3"	"4"	"49"	"3"	"3"	"3"	"1"	"2"	"2"	"420"
"5"	"3"	"14"	"239"	"77"	"128"	"2"	"6"	"31"	"4"	"5"	"5"	"2"	"9"	"4"	"526"
"6"	"4"	"3"	"63"	"176"	"338"	"4"	"11"	"69"	"11"	"3"	"11"	"4"	"9"	"8"	"710"
"7"	"5"	"27"	"519"	"113"	"145"	"2"	"10"	"20"	"4"	"3"	"3"	"3"	"13"	"6"	"868"
"8"	"6"	"26"	"368"	"74"	"90"	"5"	"9"	"18"	"3"	"2"	"2"	"7"	"9"	"5"	"618"
"9"	"7"	"15"	"78"	"89"	"114"	"6"	"13"	"41"	"8"	"4"	"2"	"6"	"7"	"3"	"386"
"10"	"8"	"16"	"142"	"21"	"122"	"3"	"3"	"15"	"1"	"0"	"1"	"2"	"5"	"2"	"333"
"11"	"9"	"12"	"53"	"134"	"202"	"5"	"3"	"50"	"9"	"0"	"2"	"1"	"5"	"5"	"481"
"12"	"10"	"15"	"261"	"268"	"43"	"4"	"13"	"8"	"1"	"1"	"2"	"7"	"13"	"6"	"642"
"13"	"11"	"13"	"54"	"347"	"179"	"4"	"1"	"24"	"4"	"6"	"3"	"4"	"5"	"9"	"653"
"14"	"12"	"8"	"274"	"66"	"233"	"5"	"9"	"33"	"3"	"1"	"2"	"10"	"9"	"9"	"662"
"15"	"13"	"21"	"164"	"153"	"199"	"0"	"2"	"19"	"1"	"3"	"6"	"5"	"9"	"6"	"588"
"16"	"14"	"5"	"62"	"13"	"186"	"4"	"3"	"10"	"4"	"0"	"2"	"2"	"1"	"3"	"295"
"17"	"15"	"18"	"193"	"133"	"169"	"4"	"8"	"23"	"5"	"5"	"6"	"5"	"7"	"7"	"583"
"18"	"16"	"30"	"295"	"65"	"158"	"1"	"8"	"19"	"7"	"4"	"3"	"4"	"3"	"1"	"598"
"19"	"17"	"5"	"29"	"90"	"367"	"2"	"3"	"30"	"6"	"3"	"1"	"5"	"2"	"2"	"545"
"20"	"18"	"41"	"327"	"110"	"205"	"8"	"15"	"23"	"7"	"3"	"3"	"5"	"5"	"3"	"755"
"21"	"19"	"8"	"101"	"122"	"348"	"5"	"4"	"63"	"3"	"3"	"3"	"6"	"5"	"2"	"673"
"22"	"20"	"19"	"80"	"164"	"305"	"8"	"11"	"55"	"6"	"1"	"2"	"0"	"3"	"1"	"655"
"23"	"21"	"8"	"239"	"58"	"269"	"6"	"9"	"53"	"2"	"0"	"4"	"7"	"5"	"3"	"663"
"24"	"22"	"2"	"10"	"13"	"231"	"1"	"2"	"26"	"1"	"1"	"2"	"0"	"2"	"3"	"294"
"25"	"23"	"30"	"272"	"199"	"283"	"5"	"8"	"36"	"5"	"2"	"5"	"5"	"12"	"8"	"870"
"26"	"24"	"8"	"103"	"46"	"363"	"6"	"5"	"73"	"6"	"4"	"3"	"5"	"6"	"3"	"631"
