"A_CODE"	"BOOTH_NO"	"Kalawati.Devi"	"Ramji.Manjhi"	"Sanjiv.Prasad.Toni"	"Hari.Manjhi"	"Dilip.Paswan"	"Niranjan.Kumar"	"Rajesh.Kumar"	"Ramdev.Arya.Paan"	"Amarnath.prasad"	"Krishna.Choudhary"	"Kail.Das"	"Deepak.Paswan"	"Ramkishore.Paswan"	"Ramu.Paswan"	"Shiv.Shankar.Kumar"	"Shyamlal.Manjhi"	"TOTAL.Votes"
"1"	226	1	2	39	10	116	1	0	0	1	0	2	1	3	0	1	0	0	176
"2"	226	2	86	46	8	291	14	1	3	1	4	0	1	4	3	1	1	0	464
"3"	226	3	14	109	12	218	8	3	3	2	3	4	6	3	22	7	8	12	434
"4"	226	4	5	23	10	103	3	5	1	2	4	1	2	6	7	1	2	6	181
"5"	226	5	18	51	27	243	13	3	2	9	11	6	5	11	19	8	7	2	435
"6"	226	6	76	134	8	173	5	1	2	2	3	0	1	3	6	5	1	1	421
"7"	226	7	13	73	29	214	5	0	0	1	1	1	2	0	3	1	4	1	348
"8"	226	8	61	61	8	82	9	2	2	2	3	2	3	4	3	2	2	5	251
"9"	226	9	8	90	7	151	5	3	1	1	4	0	5	3	8	2	3	5	296
"10"	226	10	11	70	21	173	16	0	3	1	2	2	3	4	4	3	3	9	325
"11"	226	11	12	31	38	121	1	0	0	0	0	0	1	0	3	0	2	2	211
"12"	226	12	13	57	7	81	2	2	0	0	3	0	2	1	3	1	0	3	175
"13"	226	13	23	7	2	210	9	5	4	1	2	1	0	0	15	3	1	3	286
"14"	226	14	6	68	8	306	3	16	4	0	1	1	1	0	3	4	4	7	432
"15"	226	15	4	63	11	262	2	1	4	1	2	2	3	4	6	2	7	7	381
"16"	226	16	49	171	8	108	4	7	5	4	2	3	2	1	6	3	5	7	385
"17"	226	17	11	35	32	287	10	3	0	1	2	1	0	3	2	1	0	3	391
"18"	226	18	71	9	37	227	7	6	2	1	2	1	0	0	4	3	2	1	373
"19"	226	19	5	161	5	93	4	3	0	2	3	2	8	4	3	4	16	8	321
"20"	226	20	10	79	60	182	13	7	4	6	6	7	9	11	24	10	11	19	458
"21"	226	21	2	4	2	219	1	1	0	0	0	1	0	0	0	0	0	0	230
"22"	226	22	19	79	25	132	2	2	4	1	3	1	1	2	4	1	2	0	278
"23"	226	23	31	49	94	175	8	0	0	2	2	1	2	2	2	2	0	1	371
"24"	226	24	48	83	35	452	12	3	3	6	3	4	9	7	9	4	7	14	699
"25"	226	25	11	50	21	97	4	4	3	3	0	4	5	4	8	3	7	6	230
"26"	226	26	21	23	12	113	5	3	5	1	0	4	2	2	5	1	1	6	204
"27"	226	27	38	21	16	83	3	8	3	4	3	1	6	1	10	7	2	12	218
"28"	226	28	13	236	21	94	4	4	1	1	2	3	1	4	3	5	8	3	403
"29"	226	29	37	83	14	243	6	2	3	0	1	0	3	3	9	1	4	9	418
"30"	226	30	75	50	7	180	4	1	2	1	3	1	3	3	1	3	1	4	339
"31"	226	31	53	39	5	136	10	5	1	2	0	1	2	0	2	2	2	3	263
"32"	226	32	4	133	5	83	7	1	1	1	2	1	0	2	0	0	0	3	243
"33"	226	33	34	100	20	439	13	5	6	2	5	2	3	3	5	3	2	2	644
"34"	226	34	8	272	11	128	5	0	1	2	2	1	4	0	5	0	2	6	447
"35"	226	35	40	83	17	124	1	3	1	4	0	2	3	2	2	9	6	7	304
