"A_CODE"	"BOOTH_NO"	"Kalawati.Devi"	"Ramji.Manjhi"	"Sanjiv.Prasad.Toni"	"Hari.Manjhi"	"Dilip.Paswan"	"Niranjan.Kumar"	"Rajesh.Kumar"	"Ramdev.Arya.Paan"	"Amarnath.prasad"	"Krishna.Choudhary"	"Kail.Das"	"Deepak.Paswan"	"Ramkisho.re.Paswan"	"Ramu.Paswan"	"Shiv.Shankar.Kumar"	"Shyamlal.Manjhi"	"TOTAL.Votes"
"1"	232	1	125	21	15	228	3	1	1	0	2	2	1	3	8	5	1	9	425
"2"	232	2	27	9	8	98	3	15	3	0	0	0	0	3	4	0	1	4	175
"3"	232	3	8	33	8	309	0	0	0	0	1	1	0	1	0	1	0	0	362
"4"	232	4	1	15	16	568	2	0	0	0	1	0	1	1	1	0	2	0	608
"5"	232	5	28	443	14	45	4	2	5	2	1	1	1	0	2	0	1	0	549
"6"	232	6	23	46	26	213	3	3	1	1	2	5	4	2	5	4	5	17	360
"7"	232	7	6	37	26	321	10	1	4	3	3	2	3	4	4	5	4	8	441
"8"	232	8	10	178	36	232	3	5	0	0	1	2	0	0	1	1	3	0	472
"9"	232	9	94	98	42	268	8	4	2	3	2	1	1	4	2	3	5	10	547
"10"	232	10	11	142	26	94	5	0	2	2	6	1	2	3	2	3	3	5	307
"11"	232	11	4	14	107	207	0	0	0	0	0	0	0	0	0	1	0	0	333
"12"	232	12	3	48	24	611	1	3	3	1	0	0	0	0	0	0	1	2	697
"13"	232	13	29	75	7	203	8	2	8	3	2	4	2	5	11	5	8	8	380
"14"	232	14	0	17	39	522	1	0	0	0	0	1	0	0	0	0	0	0	580
"15"	232	15	2	89	4	98	1	0	0	0	0	0	0	0	0	0	0	0	194
"16"	232	16	9	108	18	355	12	2	0	2	4	5	2	5	10	9	5	6	552
"17"	232	17	6	46	29	146	5	1	1	0	0	0	0	1	1	2	0	5	243
"18"	232	18	10	497	4	79	1	0	0	0	0	0	0	1	1	0	0	2	595
"19"	232	19	2	13	31	440	2	0	0	0	0	0	0	0	0	0	0	0	488
"20"	232	20	2	398	6	56	0	0	0	0	0	1	0	0	0	0	0	0	463
"21"	232	21	5	56	79	65	1	3	1	0	0	1	0	0	0	0	0	1	212
"22"	232	22	8	59	20	113	4	17	5	2	3	0	0	1	1	0	3	5	241
"23"	232	23	92	29	16	84	3	85	4	2	3	2	2	2	2	1	4	5	336
"24"	232	24	5	62	78	142	3	10	1	0	1	6	2	13	4	3	6	6	342
"25"	232	25	36	124	6	70	1	3	3	5	4	2	2	3	1	3	4	11	278
"26"	232	26	1	27	108	404	4	7	0	0	0	0	0	0	0	1	1	2	555
"27"	232	27	2	21	52	22	0	1	1	1	0	1	0	1	0	0	0	1	103
