"ernku.dsUnz.dh.dz0.la0"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"dqy.fof.k.ekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonRr.erksa.dh.la..k"
"1"	""	"vCnql lqCgku"	"egsUnz ukjk;.k ;kno"	"jktho u;u"	"fouksn dqekj flag"	"lqn'kZu pUnz iky"	"eks0 jTtkd"	"ljdkj ejkaMh"	"Q.kh yky lkg"	"lfPpnkuUn flag"	""	""	""	""
"2"	"1"	"56"	"95"	"10"	"264"	"5"	"5"	"5"	"3"	"13"	"456"	"0"	"456"	""
"3"	"1A"	"126"	"69"	"3"	"248"	"4"	"12"	"8"	"6"	"16"	"492"	"0"	"492"	""
"4"	"2"	"87"	"59"	"5"	"293"	"6"	"6"	"7"	"4"	"8"	"475"	"0"	"475"	""
"5"	"3"	"166"	"91"	"14"	"196"	"11"	"3"	"9"	"2"	"19"	"511"	"0"	"511"	""
"6"	"4"	"135"	"139"	"6"	"175"	"8"	"9"	"8"	"4"	"13"	"497"	"0"	"497"	""
"7"	"5"	"22"	"106"	"9"	"287"	"10"	"9"	"9"	"5"	"8"	"465"	"0"	"465"	""
"8"	"6"	"71"	"245"	"5"	"5"	"4"	"39"	"6"	"7"	"8"	"390"	"0"	"390"	""
"9"	"7"	"110"	"238"	"7"	"128"	"5"	"27"	"9"	"2"	"12"	"538"	"0"	"538"	""
"10"	"8"	"108"	"251"	"9"	"156"	"2"	"8"	"9"	"5"	"12"	"560"	"0"	"560"	""
"11"	"9"	"70"	"430"	"10"	"156"	"6"	"7"	"3"	"10"	"18"	"710"	"0"	"710"	""
"12"	"10"	"37"	"260"	"12"	"242"	"5"	"22"	"4"	"6"	"12"	"600"	"0"	"600"	""
"13"	"11"	"153"	"221"	"6"	"2"	"2"	"20"	"2"	"5"	"11"	"422"	"0"	"422"	""
"14"	"12"	"141"	"405"	"10"	"43"	"11"	"90"	"11"	"14"	"21"	"746"	"0"	"746"	""
"15"	"13"	"22"	"333"	"1"	"45"	"0"	"5"	"1"	"1"	"6"	"414"	"0"	"414"	""
"16"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"17"	""	"vCnql lqCgku"	"egsUnz ukjk;.k ;kno"	"jktho u;u"	"fouksn dqekj flag"	"lqn'kZu pUnz iky"	"eks0 jTtkd"	"ljdkj ejkaMh"	"Q.kh yky lkg"	"lfPpnkuUn flag"	""	""	""	""
"18"	"14"	"149"	"190"	"4"	"3"	"0"	"18"	"8"	"2"	"11"	"385"	"0"	"385"	""
"19"	"15"	"193"	"277"	"10"	"96"	"9"	"70"	"18"	"10"	"12"	"695"	"0"	"695"	""
"20"	"16"	"31"	"94"	"6"	"204"	"0"	"4"	"0"	"5"	"15"	"359"	"0"	"359"	""
"21"	"17"	"12"	"194"	"5"	"220"	"6"	"4"	"2"	"4"	"10"	"457"	"0"	"457"	""
"22"	"17A"	"114"	"171"	"3"	"8"	"2"	"19"	"4"	"1"	"8"	"330"	"0"	"330"	""
"23"	"18"	"12"	"405"	"7"	"121"	"2"	"2"	"3"	"2"	"6"	"560"	"0"	"560"	""
"24"	"19"	"21"	"232"	"9"	"107"	"3"	"4"	"4"	"2"	"18"	"400"	"0"	"400"	""
