"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"236"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"237"	"Round - 14"	"166"	"112"	"8"	"215"	"57"	"9"	"2"	"6"	"409"	""	"409"	"0"
"238"	""	"167"	"115"	"15"	"177"	"86"	"17"	"9"	"13"	"432"	""	"432"	"0"
"239"	""	"168"	"32"	"18"	"287"	"85"	"16"	"9"	"16"	"463"	""	"463"	"0"
"240"	""	"169"	"15"	"4"	"178"	"68"	"6"	"2"	"4"	"277"	""	"277"	"0"
"241"	""	"170"	"30"	"10"	"95"	"264"	"23"	"5"	"33"	"460"	""	"460"	"0"
"242"	""	"171"	"25"	"7"	"269"	"66"	"13"	"4"	"10"	"394"	""	"394"	"0"
"243"	""	"172"	"12"	"7"	"239"	"115"	"13"	"4"	"17"	"407"	""	"407"	"0"
"244"	""	"173"	"19"	"9"	"162"	"85"	"10"	"6"	"18"	"309"	""	"309"	"0"
"245"	""	"174"	"120"	"13"	"60"	"180"	"15"	"10"	"16"	"414"	""	"414"	"0"
"246"	""	"175"	"50"	"9"	"208"	"130"	"15"	"16"	"7"	"435"	""	"435"	"0"
"247"	""	"176"	"296"	"12"	"123"	"39"	"6"	"4"	"9"	"489"	""	"489"	"0"
"248"	""	"177"	"54"	"1"	"229"	"12"	"1"	"1"	"4"	"302"	""	"302"	"0"
"249"	""	"178"	"10"	"4"	"262"	"49"	"2"	"4"	"4"	"335"	""	"335"	"0"
"250"	""	"179"	"31"	"9"	"173"	"295"	"20"	"12"	"7"	"547"	""	"547"	"0"
"251"	""	"Total"	"921"	"126"	"2677"	"1531"	"166"	"88"	"164"	"5673"	""	"5673"	"0"
"252"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"253"	""	""	"Anjar Ahmad Kha,(L.J.P)"	"Dinesh Mahto (C.P.I)M.L"	"Nitish Mishra (J.D.U)"	"Ram Awatar Chaudhary (R.J.D)"	"Ram Bilas Dhangar (B.S.P)"	"Vivekanandan Mishra (S.P.)"	"Nathuni Yadav (IND.)"	""	""	""	""
"254"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"255"	"Round - 15"	"180"	"6"	"4"	"380"	"105"	"12"	"9"	"16"	"532"	""	"532"	"0"
"256"	""	"181"	"0"	"3"	"179"	"33"	"1"	"2"	"5"	"223"	""	"223"	"0"
"257"	""	"182"	"27"	"7"	"86"	"352"	"17"	"4"	"18"	"511"	""	"511"	"0"
"258"	""	"183"	"28"	"6"	"90"	"192"	"21"	"4"	"5"	"346"	""	"346"	"0"
"259"	""	"184"	"39"	"4"	"167"	"85"	"14"	"15"	"19"	"343"	""	"343"	"0"
"260"	""	"185"	"48"	"7"	"64"	"189"	"80"	"20"	"24"	"432"	""	"432"	"0"
"261"	""	"186"	"24"	"6"	"187"	"118"	"6"	"19"	"7"	"367"	""	"367"	"0"
"262"	""	"187"	"10"	"3"	"169"	"47"	"8"	"5"	"9"	"251"	""	"251"	"0"
"263"	""	"187&d"	"17"	"4"	"77"	"141"	"8"	"4"	"30"	"281"	""	"281"	"0"
"264"	""	"188"	"21"	"4"	"20"	"257"	"9"	"3"	"11"	"325"	""	"325"	"0"
"265"	""	"189"	"29"	"10"	"201"	"245"	"31"	"5"	"20"	"541"	""	"541"	"0"
"266"	""	"190"	"31"	"18"	"106"	"309"	"18"	"20"	"53"	"555"	""	"555"	"0"
"267"	""	"191"	"31"	"3"	"199"	"246"	"37"	"17"	"54"	"587"	""	"587"	"0"
"268"	""	"192"	"42"	"26"	"309"	"129"	"21"	"21"	"49"	"597"	""	"597"	"0"
"269"	""	"Total"	"353"	"105"	"2234"	"2448"	"283"	"148"	"320"	"5891"	""	"5891"	"0"
"270"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
