"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"125"	""	"Total"	"698"	"128"	"2691"	"1606"	"213"	"143"	"239"	"5718"	""	"5718"	"0"
"126"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"127"	""	""	"Anjar Ahmad Kha,(L.J.P)"	"Dinesh Mahto (C.P.I)M.L"	"Nitish Mishra (J.D.U)"	"Ram Awatar Chaudhary (R.J.D)"	"Ram Bilas Dhangar (B.S.P)"	"Vivekanandan Mishra (S.P.)"	"Nathuni Yadav (IND.)"	""	""	""	""
"128"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"129"	"Round - 8"	"88"	"139"	"11"	"91"	"20"	"7"	"6"	"8"	"282"	""	"282"	"0"
"130"	""	"89"	"17"	"8"	"207"	"43"	"10"	"0"	"16"	"301"	""	"301"	"0"
"131"	""	"89&d"	"22"	"8"	"198"	"49"	"12"	"10"	"17"	"316"	""	"316"	"0"
"132"	""	"90"	"11"	"13"	"215"	"104"	"9"	"8"	"13"	"373"	""	"373"	"0"
"133"	""	"91"	"12"	"10"	"144"	"56"	"17"	"20"	"17"	"276"	""	"276"	"0"
"134"	""	"92"	"19"	"38"	"110"	"42"	"13"	"8"	"28"	"258"	""	"258"	"0"
"135"	""	"93"	"36"	"28"	"175"	"223"	"23"	"13"	"23"	"521"	""	"521"	"0"
"136"	""	"94"	"51"	"69"	"203"	"73"	"10"	"13"	"14"	"433"	""	"433"	"0"
"137"	""	"95"	"196"	"10"	"144"	"47"	"11"	"4"	"9"	"421"	""	"421"	"0"
"138"	""	"95&d"	"224"	"5"	"76"	"6"	"2"	"0"	"4"	"317"	""	"317"	"0"
"139"	""	"96"	"296"	"14"	"52"	"41"	"16"	"7"	"19"	"445"	""	"445"	"0"
"140"	""	"97"	"328"	"15"	"50"	"71"	"11"	"3"	"16"	"494"	""	"494"	"0"
"141"	""	"98"	"112"	"14"	"224"	"111"	"14"	"6"	"25"	"506"	""	"506"	"0"
"142"	""	"99"	"22"	"10"	"207"	"86"	"17"	"13"	"16"	"371"	""	"371"	"0"
"143"	""	"Total"	"1485"	"253"	"2096"	"972"	"172"	"111"	"225"	"5314"	""	"5314"	"0"
"144"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"145"	""	""	"Anjar Ahmad Kha,(L.J.P)"	"Dinesh Mahto (C.P.I)M.L"	"Nitish Mishra (J.D.U)"	"Ram Awatar Chaudhary (R.J.D)"	"Ram Bilas Dhangar (B.S.P)"	"Vivekanandan Mishra (S.P.)"	"Nathuni Yadav (IND.)"	""	""	""	""
"146"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"147"	"Round - 9"	"100"	"365"	"12"	"75"	"25"	"12"	"16"	"37"	"542"	""	"542"	"0"
"148"	""	"101"	"14"	"11"	"251"	"65"	"19"	"8"	"26"	"394"	""	"394"	"0"
"149"	""	"101&d"	"19"	"4"	"99"	"180"	"21"	"10"	"11"	"344"	""	"344"	"0"
"150"	""	"102"	"50"	"9"	"226"	"97"	"22"	"5"	"33"	"442"	""	"442"	"0"
"151"	""	"103"	"21"	"6"	"326"	"18"	"15"	"8"	"17"	"411"	""	"411"	"0"
"152"	""	"104"	"46"	"12"	"153"	"143"	"13"	"6"	"10"	"383"	""	"383"	"0"
"153"	""	"105"	"28"	"9"	"287"	"74"	"9"	"7"	"13"	"427"	""	"427"	"0"
"154"	""	"106"	"145"	"12"	"215"	"26"	"13"	"4"	"14"	"429"	""	"429"	"0"
"155"	""	"107"	"4"	"2"	"220"	"9"	"12"	"3"	"12"	"262"	""	"262"	"0"
"156"	""	"108"	"41"	"10"	"253"	"84"	"15"	"9"	"5"	"417"	""	"417"	"0"
"157"	""	"109"	"25"	"6"	"279"	"35"	"12"	"16"	"20"	"393"	""	"393"	"0"
"158"	""	"110"	"90"	"20"	"89"	"132"	"21"	"16"	"20"	"388"	""	"388"	"0"
"159"	""	"111"	"26"	"13"	"312"	"142"	"23"	"12"	"29"	"557"	""	"557"	"0"
"160"	""	"112"	"154"	"9"	"197"	"58"	"18"	"9"	"20"	"465"	""	"465"	"0"
"161"	""	"Total"	"1028"	"135"	"2982"	"1088"	"225"	"129"	"267"	"5854"	""	"5854"	"0"
"162"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"163"	""	""	"Anjar Ahmad Kha,(L.J.P)"	"Dinesh Mahto (C.P.I)M.L"	"Nitish Mishra (J.D.U)"	"Ram Awatar Chaudhary (R.J.D)"	"Ram Bilas Dhangar (B.S.P)"	"Vivekanandan Mishra (S.P.)"	"Nathuni Yadav (IND.)"	""	""	""	""
"164"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"165"	"Round - 10"	"113"	"43"	"7"	"125"	"138"	"23"	"6"	"17"	"359"	""	"359"	"0"
"166"	""	"114"	"8"	"9"	"171"	"33"	"12"	"12"	"17"	"262"	""	"262"	"0"
"167"	""	"115"	"28"	"6"	"64"	"162"	"13"	"7"	"16"	"296"	""	"296"	"0"
"168"	""	"116"	"25"	"3"	"131"	"63"	"16"	"12"	"9"	"259"	""	"259"	"0"
"169"	""	"117"	"20"	"8"	"80"	"237"	"17"	"7"	"28"	"397"	""	"397"	"0"
"170"	""	"118"	"32"	"14"	"194"	"191"	"19"	"9"	"7"	"466"	""	"466"	"0"
"171"	""	"119"	"56"	"11"	"124"	"169"	"24"	"5"	"7"	"396"	""	"396"	"0"
"172"	""	"120"	"139"	"5"	"352"	"81"	"8"	"21"	"15"	"621"	""	"621"	"0"
"173"	""	"121"	"36"	"3"	"314"	"81"	"14"	"6"	"8"	"462"	""	"462"	"0"
"174"	""	"122"	"18"	"6"	"42"	"251"	"20"	"3"	"7"	"347"	""	"347"	"0"
"175"	""	"123"	"55"	"9"	"64"	"126"	"14"	"7"	"13"	"288"	""	"288"	"0"
"176"	""	"124"	"135"	"9"	"175"	"24"	"7"	"2"	"15"	"367"	""	"367"	"0"
"177"	""	"125"	"92"	"13"	"195"	"53"	"20"	"6"	"18"	"397"	""	"397"	"0"
"178"	""	"126"	"15"	"1"	"175"	"40"	"19"	"8"	"8"	"266"	""	"266"	"0"
"179"	""	"Total"	"702"	"104"	"2206"	"1649"	"226"	"111"	"185"	"5183"	""	"5183"	"0"
"180"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	""	"Anjar Ahmad Kha,(L.J.P)"	"Dinesh Mahto (C.P.I)M.L"	"Nitish Mishra (J.D.U)"	"Ram Awatar Chaudhary (R.J.D)"	"Ram Bilas Dhangar (B.S.P)"	"Vivekanandan Mishra (S.P.)"	"Nathuni Yadav (IND.)"	""	""	""	""
"182"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"183"	"Round - 11"	"127"	"52"	"15"	"355"	"70"	"17"	"16"	"14"	"539"	""	"539"	"0"
"184"	""	"128"	"9"	"4"	"253"	"9"	"2"	"2"	"2"	"281"	""	"281"	"0"
"185"	""	"128&d"	"81"	"9"	"170"	"8"	"3"	"6"	"9"	"286"	""	"286"	"0"
"186"	""	"129"	"72"	"9"	"268"	"144"	"18"	"8"	"17"	"536"	""	"536"	"0"
"187"	""	"130"	"27"	"8"	"188"	"185"	"15"	"10"	"8"	"441"	""	"441"	"0"
"188"	""	"131"	"53"	"7"	"180"	"223"	"19"	"12"	"10"	"504"	""	"504"	"0"
"189"	""	"132"	"12"	"6"	"75"	"85"	"8"	"6"	"17"	"209"	""	"209"	"0"
"190"	""	"133"	"46"	"13"	"200"	"353"	"30"	"5"	"41"	"688"	""	"688"	"0"
"191"	""	"134"	"30"	"6"	"209"	"118"	"14"	"6"	"15"	"398"	""	"398"	"0"
"192"	""	"135"	"23"	"6"	"141"	"205"	"25"	"18"	"36"	"454"	""	"454"	"0"
"193"	""	"136"	"86"	"11"	"255"	"84"	"33"	"19"	"40"	"528"	""	"528"	"0"
