"Election.to.the..Bihar.Legislative..Assembly..From.96.SARAIRANJAN.Assembly..Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"PART I"	""	""	""	""	""	""	""	""	""	""
"2"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"3"	"Serial No.of Polling Station*"	"Phoolbabu Singh"	"Ramchander Singh Nishad"	"Vijay Kuamr Choudhary"	"Vinod Choudhary"	"Subash Prasad Singh"	"Suraesh Ray"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"4"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"5"	"1"	"33"	"263"	"38"	"156"	"29"	"61"	"580"	""	"580"	""
"6"	"2"	"19"	"53"	"144"	"169"	"56"	"47"	"488"	""	"488"	""
"7"	"3"	"8"	"135"	"27"	"72"	"20"	"38"	"300"	""	"300"	""
"8"	"3A"	"15"	"63"	"174"	"65"	"51"	"72"	"440"	""	"440"	""
"9"	"4"	"2"	"102"	"36"	"67"	"24"	"23"	"254"	""	"254"	""
"10"	"4A"	"8"	"127"	"30"	"47"	"8"	"10"	"230"	""	"230"	""
"11"	"5"	"8"	"71"	"110"	"81"	"30"	"28"	"328"	""	"328"	""
"12"	"5A"	"14"	"122"	"51"	"98"	"31"	"37"	"353"	""	"353"	""
"13"	"6"	"35"	"219"	"28"	"85"	"15"	"113"	"495"	""	"495"	""
"14"	"7"	"13"	"147"	"19"	"85"	"7"	"62"	"333"	""	"333"	""
"15"	"8"	"8"	"23"	"183"	"55"	"32"	"63"	"364"	""	"364"	""
"16"	"9"	"19"	"125"	"154"	"189"	"35"	"41"	"563"	""	"563"	""
"17"	"10"	"16"	"98"	"156"	"16"	"19"	"12"	"317"	""	"317"	""
"18"	"11"	"16"	"259"	"95"	"37"	"33"	"20"	"460"	""	"460"	""
"19"	"Page Total"	"214"	"1807"	"1245"	"1222"	"390"	"627"	"5505"	"0"	"5505"	"0"
"20"	"Election to the  Bihar Legislative  Assembly  From 96 SARAIRANJAN Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"21"	"PART I"	""	""	""	""	""	""	""	""	""	""
"22"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"23"	"Serial No.of Polling Station*"	"Phoolbabu Singh"	"Ramchander Singh Nishad"	"Vijay Kuamr Choudhary"	"Vinod Choudhary"	"Subash Prasad Singh"	"Suraesh Ray"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"24"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"25"	"B.F."	"214"	"1807"	"1245"	"1222"	"390"	"627"	"5505"	"0"	"5505"	"0"
"26"	"12"	"36"	"225"	"24"	"121"	"18"	"67"	"491"	""	"491"	""
"27"	"13"	"19"	"113"	"21"	"52"	"11"	"26"	"242"	""	"242"	""
"28"	"13A"	"14"	"35"	"21"	"103"	"10"	"20"	"203"	""	"203"	""
"29"	"14"	"24"	"154"	"12"	"16"	"4"	"17"	"227"	""	"227"	""
"30"	"15"	"57"	"155"	"108"	"72"	"54"	"67"	"513"	""	"513"	""
"31"	"16"	"30"	"70"	"91"	"42"	"27"	"79"	"339"	""	"339"	""
"32"	"16A"	"10"	"83"	"117"	"38"	"40"	"43"	"331"	""	"331"	""
"33"	"17"	"20"	"113"	"48"	"61"	"15"	"91"	"348"	""	"348"	""
"34"	"17A"	"77"	"161"	"111"	"45"	"37"	"60"	"491"	""	"491"	""
"35"	"18"	"52"	"121"	"82"	"134"	"24"	"41"	"454"	""	"454"	""
"36"	"18A"	"33"	"20"	"62"	"79"	"11"	"34"	"239"	""	"239"	""
"37"	"19"	"0"	"11"	"15"	"29"	"2"	"22"	"79"	""	"79"	""
"38"	"20"	"37"	"150"	"91"	"203"	"19"	"148"	"648"	""	"648"	""
"39"	"21"	"20"	"116"	"140"	"78"	"34"	"21"	"409"	""	"409"	""
"40"	"Page Total"	"643"	"3334"	"2188"	"2295"	"696"	"1363"	"10519"	"0"	"10519"	"0"
"41"	"Election to the  Bihar Legislative  Assembly  From 96 SARAIRANJAN Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"42"	"PART I"	""	""	""	""	""	""	""	""	""	""
"43"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"44"	"Serial No.of Polling Station*"	"Phoolbabu Singh"	"Ramchander Singh Nishad"	"Vijay Kuamr Choudhary"	"Vinod Choudhary"	"Subash Prasad Singh"	"Suraesh Ray"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"45"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"46"	"B.F."	"643"	"3334"	"2188"	"2295"	"696"	"1363"	"10519"	"0"	"10519"	"0"
"47"	"22"	"6"	"108"	"249"	"9"	"40"	"15"	"427"	""	"427"	""
"48"	"23"	"21"	"200"	"123"	"65"	"65"	"38"	"512"	""	"512"	""
"49"	"24"	"17"	"108"	"170"	"53"	"37"	"18"	"403"	""	"403"	""
"50"	"25"	"10"	"43"	"31"	"314"	"16"	"21"	"435"	""	"435"	""
"51"	"25A"	"16"	"18"	"80"	"150"	"26"	"23"	"313"	""	"313"	""
"52"	"26"	"7"	"42"	"52"	"252"	"14"	"16"	"383"	""	"383"	""
"53"	"26A"	"15"	"73"	"74"	"208"	"28"	"9"	"407"	""	"407"	""
"54"	"27"	"17"	"49"	"137"	"113"	"28"	"21"	"365"	""	"365"	""
"55"	"27A"	"11"	"81"	"204"	"51"	"25"	"13"	"385"	""	"385"	""
"56"	"28"	"21"	"138"	"220"	"196"	"25"	"20"	"620"	""	"620"	""
"57"	"29"	"29"	"81"	"104"	"89"	"21"	"29"	"353"	""	"353"	""
"58"	"30"	"13"	"99"	"63"	"158"	"27"	"43"	"403"	""	"403"	""
"59"	"31"	"9"	"34"	"269"	"65"	"24"	"6"	"407"	""	"407"	""
"60"	"32"	"19"	"324"	"86"	"115"	"25"	"43"	"612"	""	"612"	""
"61"	"Page Total"	"854"	"4732"	"4050"	"4133"	"1097"	"1678"	"16544"	"0"	"16544"	"0"
"62"	"Election to the  Bihar Legislative  Assembly  From 96 SARAIRANJAN Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"63"	"PART I"	""	""	""	""	""	""	""	""	""	""
"64"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
